Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"RomarinhoFortaleza, 28, AM(CLR),FW","117RomarinhoFortaleza, 28, AM(CLR),FW",  ,9(4),719.0,0.5,0.2,0.8,-,0.2,0.5,-,-,6.74,"117RomarinhoFortaleza, 28, AM(CLR),FW",  ,9(4),719.0,2,1,1.6,1,2.3,1.5,0.2,1.5,1.3,6.74,"117RomarinhoFortaleza, 28, AM(CLR),FW",  ,9(4),719.0,1,1,18.8,83.6,0.5,0.5,0.1,6.74
"KhellvenAthletico Paranaense, 21, D(R)","118KhellvenAthletico Paranaense, 21, D(R)",  ,12(4),1146.0,1.6,1.6,1,-,1.4,0.8,0.4,-,6.74,"118KhellvenAthletico Paranaense, 21, D(R)",  ,12(4),1146.0,1,2,0.5,0.9,0.5,0.6,-,0.3,1.6,6.74,"118KhellvenAthletico Paranaense, 21, D(R)",  ,12(4),1146.0,2,0.9,25.0,75.3,0.8,1.2,-,6.74
"AbnerAthletico Paranaense, 22, D(L),M(L)","119AbnerAthletico Paranaense, 22, D(L),M(L)",  ,18(2),1566.0,1.7,1.8,0.9,-,2,0.5,0.2,-,6.73,"119AbnerAthletico Paranaense, 22, D(L),M(L)",  ,18(2),1566.0,1,-,0.5,0.9,0.3,0.5,0.1,0.5,0.6,6.73,"119AbnerAthletico Paranaense, 22, D(L),M(L)",  ,18(2),1566.0,-,0.9,37.7,81.3,0.3,1.7,0.1,6.73
"Júnior AlonsoAtletico MG, 29, D(CL)","120Júnior AlonsoAtletico MG, 29, D(CL)",  ,20,1744.0,1,0.8,0.5,0.4,1.9,0.6,0.7,-,6.73,"120Júnior AlonsoAtletico MG, 29, D(CL)",  ,20,1744.0,-,2,0.4,0.4,0.4,0.2,-,0.2,0.2,6.73,"120Júnior AlonsoAtletico MG, 29, D(CL)",  ,20,1744.0,2,0.4,73.4,88.3,0.1,4.5,-,6.73
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JuninhoAmerica MG, 34, D(L),M(CR)","121JuninhoAmerica MG, 34, D(L),M(CR)",  ,20,1771.0,1.3,1,0.5,-,1.2,0.5,0.6,-,6.73,"121JuninhoAmerica MG, 34, D(L),M(CR)",  ,20,1771.0,-,2,0.5,1.4,1.6,1,0.1,1.1,1.9,6.73,"121JuninhoAmerica MG, 34, D(L),M(CR)",  ,20,1771.0,2,1.4,32.5,74.9,0.2,1.3,-,6.73
"WelingtonSao Paulo, 21, D(L),M(L)","122WelingtonSao Paulo, 21, D(L),M(L)",  ,9(9),961.0,1.1,0.7,0.6,0.1,1.1,0.9,0.1,-,6.73,"122WelingtonSao Paulo, 21, D(L),M(L)",  ,9(9),961.0,-,4,0.5,1.5,0.9,0.8,-,0.7,1.1,6.73,"122WelingtonSao Paulo, 21, D(L),M(L)",  ,9(9),961.0,4,1.5,23.7,81.3,1.3,0.9,-,6.73
"NonatoFluminense, 24, M(C)","123NonatoFluminense, 24, M(C)",  ,10(6),937.0,1.3,0.7,0.9,0.1,0.4,0.9,0.2,-,6.73,"123NonatoFluminense, 24, M(C)",  ,10(6),937.0,-,2,0.7,1.2,0.6,1.9,0.1,0.8,0.8,6.73,"123NonatoFluminense, 24, M(C)",  ,10(6),937.0,2,1.2,49.4,87.7,0.7,0.9,0.1,6.73
"KenoAtletico MG, 32, AM(CLR),FW","124KenoAtletico MG, 32, AM(CLR),FW",  ,9(5),789.0,1,0.1,0.6,-,0.1,0.5,-,-,6.73,"124KenoAtletico MG, 32, AM(CLR),FW",  ,9(5),789.0,1,1,1.4,1.4,1.6,1,0.2,0.9,1.8,6.73,"124KenoAtletico MG, 32, AM(CLR),FW",  ,9(5),789.0,1,1.4,18.6,75.0,1.1,0.8,-,6.73
"CésarJuventude, 27, GK","125CésarJuventude, 27, GK",  ,19,1710.0,-,-,-,-,2.1,-,-,-,6.72,"125CésarJuventude, 27, GK",  ,19,1710.0,-,-,-,-,-,0.2,-,0.1,0.1,6.72,"125CésarJuventude, 27, GK",  ,19,1710.0,-,-,25.2,71.1,-,3.7,-,6.72
"Bruno SilvaAvai FC, 36, M(CR)","126Bruno SilvaAvai FC, 36, M(CR)",  ,18,1553.0,3.2,0.8,2.5,0.1,1.9,2.1,0.4,-,6.72,"126Bruno SilvaAvai FC, 36, M(CR)",  ,18,1553.0,-,-,0.4,0.7,0.8,1.4,0.1,0.9,0.7,6.72,"126Bruno SilvaAvai FC, 36, M(CR)",  ,18,1553.0,-,0.7,46.7,83.0,0.1,2.1,-,6.72
"AlerrandroRed Bull Bragantino, 22, FW","127AlerrandroRed Bull Bragantino, 22, FW",  ,7(6),617.0,0.2,0.2,0.6,-,0.6,0.4,0.1,-,6.72,"127AlerrandroRed Bull Bragantino, 22, FW",  ,7(6),617.0,5,-,2.5,0.5,0.4,0.8,0.2,0.6,0.9,6.72,"127AlerrandroRed Bull Bragantino, 22, FW",  ,7(6),617.0,-,0.5,7.6,81.8,0.1,-,0.1,6.72
"Luan GarciaPalmeiras, 29, D(C)","128Luan GarciaPalmeiras, 29, D(C)",  ,9(1),765.0,1.1,1.6,1.4,0.1,4,0.3,0.4,1,6.72,"128Luan GarciaPalmeiras, 29, D(C)",  ,9(1),765.0,-,1,0.6,0.2,-,0.6,0.1,0.1,0.4,6.72,"128Luan GarciaPalmeiras, 29, D(C)",  ,9(1),765.0,1,0.2,39.7,84.6,-,4.6,-,6.72
"CléberCeara, 25, FW","129CléberCeara, 25, FW",  ,9(6),705.0,1,0.1,1.7,-,0.6,0.1,-,-,6.72,"129CléberCeara, 25, FW",  ,9(6),705.0,3,-,1.6,0.7,0.5,0.3,0.3,0.3,1.1,6.72,"129CléberCeara, 25, FW",  ,9(6),705.0,-,0.7,12.7,70.7,-,-,-,6.72
"Gabriel BarbosaFlamengo, 25, AM(LR),FW","130Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,15(5),1380.0,0.4,0.1,0.4,-,-,0.5,-,-,6.72,"130Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,15(5),1380.0,6,1,2.4,1.3,0.5,0.8,0.7,0.8,1.2,6.72,"130Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,15(5),1380.0,1,1.3,20.6,85.9,0.3,1,0.3,6.72
"MarianoAtletico MG, 36, D(R),M(R)","131MarianoAtletico MG, 36, D(R),M(R)",  ,11(2),1003.0,2.4,1.1,0.8,-,0.6,1.5,0.1,-,6.72,"131MarianoAtletico MG, 36, D(R),M(R)",  ,11(2),1003.0,-,1,-,1.4,0.3,0.5,-,0.1,0.6,6.72,"131MarianoAtletico MG, 36, D(R),M(R)",  ,11(2),1003.0,1,1.4,40.3,84.7,1.2,3.8,-,6.72
"Rodrigo NestorSao Paulo, 22, DMC","132Rodrigo NestorSao Paulo, 22, DMC",  ,15(2),1231.0,1.1,0.8,1.4,-,0.4,1.1,0.1,-,6.72,"132Rodrigo NestorSao Paulo, 22, DMC",  ,15(2),1231.0,3,1,2.3,1.1,0.6,0.8,0.1,1,1.5,6.72,"132Rodrigo NestorSao Paulo, 22, DMC",  ,15(2),1231.0,1,1.1,29.1,80.8,0.3,1,0.2,6.72
"PedrinhoAmerica MG, 22, AM(CL)","133PedrinhoAmerica MG, 22, AM(CL)",  ,8(8),803.0,0.7,0.5,0.9,0.1,0.4,1.1,-,-,6.72,"133PedrinhoAmerica MG, 22, AM(CL)",  ,8(8),803.0,3,2,1.8,1.1,1.8,0.5,0.3,1.4,1.8,6.72,"133PedrinhoAmerica MG, 22, AM(CL)",  ,8(8),803.0,2,1.1,15.1,74.4,0.3,0.9,-,6.72
"Róger GuedesCorinthians, 25, AM(CLR),FW","134Róger GuedesCorinthians, 25, AM(CLR),FW",  ,18(2),1453.0,0.2,-,0.6,-,0.4,0.2,0.1,-,6.71,"134Róger GuedesCorinthians, 25, AM(CLR),FW",  ,18(2),1453.0,6,1,2.1,0.8,0.7,1.6,0.4,0.7,2.2,6.71,"134Róger GuedesCorinthians, 25, AM(CLR),FW",  ,18(2),1453.0,1,0.8,24.8,82.2,0.1,1.3,-,6.71
"KanuBotafogo RJ, 25, D(C)","135KanuBotafogo RJ, 25, D(C)",  ,15,1293.0,1.2,1.5,0.9,0.9,3.7,0.5,0.6,-,6.71,"135KanuBotafogo RJ, 25, D(C)",  ,15,1293.0,-,-,0.4,0.1,0.3,0.7,-,0.3,0.2,6.71,"135KanuBotafogo RJ, 25, D(C)",  ,15,1293.0,-,0.1,46.9,86.8,-,2.4,-,6.71
"Marcelo BoeckFortaleza, 37, GK","136Marcelo BoeckFortaleza, 37, GK",  ,12,1080.0,-,0.1,0.1,-,1.3,-,-,-,6.71,"136Marcelo BoeckFortaleza, 37, GK",  ,12,1080.0,-,-,-,-,-,0.3,-,-,-,6.71,"136Marcelo BoeckFortaleza, 37, GK",  ,12,1080.0,-,-,19.4,63.1,-,5.2,-,6.71
"Paulo MirandaJuventude, 34, D(CR)","137Paulo MirandaJuventude, 34, D(CR)",  ,8(2),784.0,0.6,1.7,1.1,0.2,5.1,0.2,1.1,-,6.71,"137Paulo MirandaJuventude, 34, D(CR)",  ,8(2),784.0,-,-,0.7,0.1,-,0.4,-,0.1,0.5,6.71,"137Paulo MirandaJuventude, 34, D(CR)",  ,8(2),784.0,-,0.1,46.8,86.5,-,3.5,-,6.71
"Hugo MouraAthletico Paranaense, 24, DMC","138Hugo MouraAthletico Paranaense, 24, DMC",  ,14(1),1244.0,2.1,2,1.7,0.1,0.9,1.4,0.2,-,6.71,"138Hugo MouraAthletico Paranaense, 24, DMC",  ,14(1),1244.0,1,-,1.1,0.5,0.5,1.1,0.1,0.5,0.9,6.71,"138Hugo MouraAthletico Paranaense, 24, DMC",  ,14(1),1244.0,-,0.5,39.2,82.1,0.1,2.7,-,6.71
"Matheus MartinsFluminense, 19, Midfielder","139Matheus MartinsFluminense, 19, Midfielder",  ,8(6),791.0,1.3,0.4,0.9,-,0.2,0.4,-,-,6.7,"139Matheus MartinsFluminense, 19, Midfielder",  ,8(6),791.0,2,1,1.3,0.9,1,1.6,0.2,1,1.6,6.7,"139Matheus MartinsFluminense, 19, Midfielder",  ,8(6),791.0,1,0.9,23.3,85.0,0.3,0.6,0.1,6.7
"Willian ArãoFlamengo, 30, D(C),M(C)","140Willian ArãoFlamengo, 30, D(C),M(C)",  ,10(4),921.0,0.8,1.2,0.9,0.1,1.3,0.5,0.7,-,6.7,"140Willian ArãoFlamengo, 30, D(C),M(C)",  ,10(4),921.0,2,-,0.9,0.5,0.2,0.4,-,0.1,0.3,6.7,"140Willian ArãoFlamengo, 30, D(C),M(C)",  ,10(4),921.0,-,0.5,41.5,88.8,0.1,2.9,-,6.7
"Fabrício DanielCoritiba, 25, AM(CR),FW","141Fabrício DanielCoritiba, 25, AM(CR),FW",  ,7(7),562.0,1.1,0.3,0.3,0.1,0.2,0.4,-,-,6.7,"141Fabrício DanielCoritiba, 25, AM(CR),FW",  ,7(7),562.0,-,2,1.2,0.5,2.1,1.4,-,0.8,1,6.7,"141Fabrício DanielCoritiba, 25, AM(CR),FW",  ,7(7),562.0,2,0.5,10.4,66.4,0.1,0.1,0.1,6.7
"Pedro HenriqueInternacional, 32, AM(LR),FW","142Pedro HenriqueInternacional, 32, AM(LR),FW",  ,7(10),798.0,1.2,0.3,1.2,0.1,0.5,0.4,-,-,6.7,"142Pedro HenriqueInternacional, 32, AM(LR),FW",  ,7(10),798.0,3,1,1.8,0.8,0.9,1.4,0.4,1,1.1,6.7,"142Pedro HenriqueInternacional, 32, AM(LR),FW",  ,7(10),798.0,1,0.8,13.1,72.1,0.2,0.5,-,6.7
"Jhojan JulioSantos FC, 24, AM(L)","143Jhojan JulioSantos FC, 24, AM(L)",  ,11,756.0,1.9,0.7,1.8,-,0.2,1.1,0.2,-,6.7,"143Jhojan JulioSantos FC, 24, AM(L)",  ,11,756.0,-,2,1.1,0.8,1.4,1.7,0.3,1.5,3,6.7,"143Jhojan JulioSantos FC, 24, AM(L)",  ,11,756.0,2,0.8,22.6,81.9,0.4,1.5,-,6.7
"Rafael ForsterJuventude, 32, D(CL),DMC","144Rafael ForsterJuventude, 32, D(CL),DMC",  ,17,1453.0,1.4,1.4,0.7,0.4,4.2,0.6,0.7,-,6.7,"144Rafael ForsterJuventude, 32, D(CL),DMC",  ,17,1453.0,-,-,0.6,0.2,0.5,0.8,-,0.1,0.4,6.7,"144Rafael ForsterJuventude, 32, D(CL),DMC",  ,17,1453.0,-,0.2,50.9,80.0,-,5.5,-,6.7
"Nino ParaíbaCeara, 36, D(R),M(R)","145Nino ParaíbaCeara, 36, D(R),M(R)",  ,12(8),1185.0,1.3,1,1,0.2,0.8,0.3,0.1,-,6.69,"145Nino ParaíbaCeara, 36, D(R),M(R)",  ,12(8),1185.0,1,-,0.5,1.3,1,0.9,0.1,0.4,1.2,6.69,"145Nino ParaíbaCeara, 36, D(R),M(R)",  ,12(8),1185.0,-,1.3,24.5,73.9,1.4,1.5,-,6.69
"Alef MangaCoritiba, 27, AM(R)","146Alef MangaCoritiba, 27, AM(R)",  ,16(4),1291.0,1.3,0.4,1.1,-,0.4,0.6,-,-,6.69,"146Alef MangaCoritiba, 27, AM(R)",  ,16(4),1291.0,3,2,2.3,1.2,1,0.6,0.4,0.9,1.7,6.69,"146Alef MangaCoritiba, 27, AM(R)",  ,16(4),1291.0,2,1.2,18.0,78.6,0.4,1.2,-,6.69
"MiguelRed Bull Bragantino, 19, AM(C)","147MiguelRed Bull Bragantino, 19, AM(C)",  ,6(4),427.0,1,0.1,0.5,-,0.1,0.8,-,-,6.69,"147MiguelRed Bull Bragantino, 19, AM(C)",  ,6(4),427.0,1,2,0.6,1.3,0.2,1.2,-,0.6,1,6.69,"147MiguelRed Bull Bragantino, 19, AM(C)",  ,6(4),427.0,2,1.3,11.8,70.3,0.8,0.6,-,6.69
"VladimirAvai FC, 33, GK","148VladimirAvai FC, 33, GK",  ,11(1),1035.0,0.1,-,-,-,0.8,-,-,-,6.69,"148VladimirAvai FC, 33, GK",  ,11(1),1035.0,-,-,-,-,-,0.3,-,-,-,6.69,"148VladimirAvai FC, 33, GK",  ,11(1),1035.0,-,-,21.8,70.9,-,4,-,6.69
"ReinaldoSao Paulo, 32, D(L),M(L)","149ReinaldoSao Paulo, 32, D(L),M(L)",  ,9(5),721.0,0.6,0.2,0.9,0.1,0.7,0.4,0.1,-,6.69,"149ReinaldoSao Paulo, 32, D(L),M(L)",  ,9(5),721.0,1,3,0.8,1.8,0.7,0.4,-,0.7,0.9,6.69,"149ReinaldoSao Paulo, 32, D(L),M(L)",  ,9(5),721.0,3,1.8,18.4,74.3,1.6,0.6,0.1,6.69
"Matheus FelipeAthletico Paranaense, 23, D(C)","151Matheus FelipeAthletico Paranaense, 23, D(C)",  ,13(2),1186.0,1.1,0.7,0.6,0.3,3.7,0.5,0.9,-,6.68,"151Matheus FelipeAthletico Paranaense, 23, D(C)",  ,13(2),1186.0,1,-,0.3,0.4,-,0.2,-,-,0.5,6.68,"151Matheus FelipeAthletico Paranaense, 23, D(C)",  ,13(2),1186.0,-,0.4,28.7,82.3,0.1,2,-,6.68
"ÉlvisGoias, 31, AM(C)","152ÉlvisGoias, 31, AM(C)",  ,11(2),856.0,0.5,0.5,1,-,0.1,1.1,-,-,6.68,"152ÉlvisGoias, 31, AM(C)",  ,11(2),856.0,4,2,0.8,1.5,0.3,1.1,-,0.7,1,6.68,"152ÉlvisGoias, 31, AM(C)",  ,11(2),856.0,2,1.5,36.2,80.3,1.7,3.9,0.1,6.68
"YtaloRed Bull Bragantino, 34, AM(C),FW","153YtaloRed Bull Bragantino, 34, AM(C),FW",  ,7(4),628.0,0.3,0.3,0.2,-,0.5,0.3,0.1,-,6.67,"153YtaloRed Bull Bragantino, 34, AM(C),FW",  ,7(4),628.0,3,-,1.1,0.4,-,0.5,-,0.1,0.2,6.67,"153YtaloRed Bull Bragantino, 34, AM(C),FW",  ,7(4),628.0,-,0.4,8.9,88.8,0.1,0.3,-,6.67
"AllanAtletico MG, 25, DMC","154AllanAtletico MG, 25, DMC",  ,17(2),1514.0,1.4,0.9,1.5,0.1,1.4,0.9,0.3,-,6.67,"154AllanAtletico MG, 25, DMC",  ,17(2),1514.0,-,-,0.9,0.6,0.8,0.8,-,0.3,0.9,6.67,"154AllanAtletico MG, 25, DMC",  ,17(2),1514.0,-,0.6,62.2,86.5,-,5.2,-,6.67
"Bruno PachecoCeara, 30, D(L)","155Bruno PachecoCeara, 30, D(L)",  ,16(1),1393.0,1.6,0.9,1.2,0.2,1.2,1.2,0.1,-,6.67,"155Bruno PachecoCeara, 30, D(L)",  ,16(1),1393.0,1,2,0.5,0.7,0.9,1.5,0.1,0.5,0.8,6.67,"155Bruno PachecoCeara, 30, D(L)",  ,16(1),1393.0,2,0.7,35.8,78.1,0.4,1.1,-,6.67
"Marlon FreitasAtletico GO, 27, DMC","156Marlon FreitasAtletico GO, 27, DMC",  ,21,1747.0,1.7,0.9,0.6,-,0.8,1.1,0.3,1,6.67,"156Marlon FreitasAtletico GO, 27, DMC",  ,21,1747.0,3,3,1,1.2,0.4,0.1,0.1,0.4,0.7,6.67,"156Marlon FreitasAtletico GO, 27, DMC",  ,21,1747.0,3,1.2,60.5,85.8,0.2,6.7,0.1,6.67
"JairAtletico MG, 27, DMC","157JairAtletico MG, 27, DMC",  ,15(4),1179.0,1.7,0.8,1.2,-,0.2,0.8,0.1,-,6.67,"157JairAtletico MG, 27, DMC",  ,15(4),1179.0,1,2,1,0.7,0.6,1,-,0.9,0.7,6.67,"157JairAtletico MG, 27, DMC",  ,15(4),1179.0,2,0.7,32.7,88.9,0.1,1.4,-,6.67
"ReynaldoGoias, 25, D(C)","158ReynaldoGoias, 25, D(C)",  ,17,1466.0,1.2,1,1.1,0.6,5.6,0.4,0.9,-,6.67,"158ReynaldoGoias, 25, D(C)",  ,17,1466.0,-,-,0.4,0.1,0.1,0.4,-,0.1,0.2,6.67,"158ReynaldoGoias, 25, D(C)",  ,17,1466.0,-,0.1,24.4,84.5,-,1.2,-,6.67
"JandreiSao Paulo, 29, GK","159JandreiSao Paulo, 29, GK",  ,17,1469.0,-,0.1,-,-,1.3,-,-,-,6.67,"159JandreiSao Paulo, 29, GK",  ,17,1469.0,-,-,-,0.1,-,0.2,-,-,-,6.67,"159JandreiSao Paulo, 29, GK",  ,17,1469.0,-,0.1,32.4,66.9,-,7.9,-,6.67
"Vitor RoqueAthletico Paranaense, 17, FW","160Vitor RoqueAthletico Paranaense, 17, FW",  ,6(10),685.0,0.5,0.5,1,-,-,0.1,-,-,6.67,"160Vitor RoqueAthletico Paranaense, 17, FW",  ,6(10),685.0,4,1,1.5,0.2,0.6,1.8,0.3,0.9,1.9,6.67,"160Vitor RoqueAthletico Paranaense, 17, FW",  ,6(10),685.0,1,0.2,4.5,63.9,0.1,0.1,-,6.67
"Yago PikachuFortaleza, 30, D(R),M(CLR)","161Yago PikachuFortaleza, 30, D(R),M(CLR)",  ,13(1),1207.0,0.8,0.4,0.9,-,0.6,0.9,0.2,-,6.66,"161Yago PikachuFortaleza, 30, D(R),M(CLR)",  ,13(1),1207.0,4,-,2.1,1.4,0.6,2.1,0.1,0.9,1.3,6.66,"161Yago PikachuFortaleza, 30, D(R),M(CLR)",  ,13(1),1207.0,-,1.4,30.4,79.8,0.8,2,-,6.66
"NicolásGoias, 32, Forward","162NicolásGoias, 32, Forward",  ,4(11),635.0,0.5,-,1.3,0.1,0.7,0.6,0.1,-,6.66,"162NicolásGoias, 32, Forward",  ,4(11),635.0,3,1,1.3,0.7,0.4,1.1,0.4,0.8,2.2,6.66,"162NicolásGoias, 32, Forward",  ,4(11),635.0,1,0.7,12.1,65.7,0.1,0.3,-,6.66
"UendelCuiaba, 33, D(L)","163UendelCuiaba, 33, D(L)",  ,15(1),1322.0,1.2,0.6,0.6,0.3,1.5,0.6,-,-,6.66,"163UendelCuiaba, 33, D(L)",  ,15(1),1322.0,1,1,0.4,1.1,0.4,0.4,-,0.3,0.4,6.66,"163UendelCuiaba, 33, D(L)",  ,15(1),1322.0,1,1.1,39.4,78.1,1,2.8,-,6.66
"Lucas FernandesBotafogo RJ, 24, M(CL),FW","164Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,12(2),995.0,1.1,0.4,1.4,-,0.1,1.1,0.1,-,6.66,"164Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,12(2),995.0,-,2,2.1,1.3,1.1,1.1,-,1,1.4,6.66,"164Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,12(2),995.0,2,1.3,38.7,86.3,0.7,1.8,0.1,6.66
"MirandaSao Paulo, 37, D(C)","165MirandaSao Paulo, 37, D(C)",  ,9(1),747.0,1.4,0.9,1.1,0.5,3.5,0.4,0.5,-,6.66,"165MirandaSao Paulo, 37, D(C)",  ,9(1),747.0,-,-,0.5,-,0.3,0.4,-,-,0.2,6.66,"165MirandaSao Paulo, 37, D(C)",  ,9(1),747.0,-,-,39.4,87.3,-,3.2,-,6.66
"ErisonBotafogo RJ, 23, FW","166ErisonBotafogo RJ, 23, FW",  ,17(3),1489.0,0.2,0.1,1.5,0.1,0.5,0.4,-,-,6.65,"166ErisonBotafogo RJ, 23, FW",  ,17(3),1489.0,7,1,2.5,0.8,1.1,1.3,0.7,1.2,3.2,6.65,"166ErisonBotafogo RJ, 23, FW",  ,17(3),1489.0,1,0.8,9.3,69.4,-,-,0.1,6.65
"Philipe SampaioBotafogo RJ, 27, D(C)","167Philipe SampaioBotafogo RJ, 27, D(C)",  ,13,1036.0,0.7,1.8,1.4,1.1,4.5,0.5,0.9,-,6.65,"167Philipe SampaioBotafogo RJ, 27, D(C)",  ,13,1036.0,-,-,0.3,-,0.2,0.5,0.1,-,0.3,6.65,"167Philipe SampaioBotafogo RJ, 27, D(C)",  ,13,1036.0,-,-,48.0,87.2,-,2.7,-,6.65
"Germán ContiAmerica MG, 28, D(C)","168Germán ContiAmerica MG, 28, D(C)",  ,10(6),1020.0,0.7,0.9,0.6,0.5,4.4,0.4,0.9,-,6.65,"168Germán ContiAmerica MG, 28, D(C)",  ,10(6),1020.0,-,-,0.6,0.2,-,0.1,-,-,0.2,6.65,"168Germán ContiAmerica MG, 28, D(C)",  ,10(6),1020.0,-,0.2,28.1,76.6,-,1.9,-,6.65
"Lucas PitonCorinthians, 21, D(L),M(L)","169Lucas PitonCorinthians, 21, D(L),M(L)",  ,11(7),1060.0,1.4,0.8,1.4,0.2,1,0.7,0.1,-,6.65,"169Lucas PitonCorinthians, 21, D(L),M(L)",  ,11(7),1060.0,1,3,0.3,0.8,0.5,0.3,-,0.4,1.1,6.65,"169Lucas PitonCorinthians, 21, D(L),M(L)",  ,11(7),1060.0,3,0.8,30.2,80.5,0.9,1.1,-,6.65
"William PottkerAvai FC, 28, AM(LR),FW","170William PottkerAvai FC, 28, AM(LR),FW",  ,14(4),1257.0,0.7,0.4,0.7,-,0.5,0.7,-,-,6.65,"170William PottkerAvai FC, 28, AM(LR),FW",  ,14(4),1257.0,1,1,1.6,1.1,1.9,1.7,0.4,1.3,3.6,6.65,"170William PottkerAvai FC, 28, AM(LR),FW",  ,14(4),1257.0,1,1.1,24.9,79.5,0.4,0.5,-,6.65
"RafinhaSao Paulo, 36, D(CLR),M(R)","171RafinhaSao Paulo, 36, D(CLR),M(R)",  ,16(3),1445.0,1.9,1.2,1.1,0.4,1.4,0.8,0.2,-,6.65,"171RafinhaSao Paulo, 36, D(CLR),M(R)",  ,16(3),1445.0,-,3,0.1,0.5,0.1,0.8,-,-,0.5,6.65,"171RafinhaSao Paulo, 36, D(CLR),M(R)",  ,16(3),1445.0,3,0.5,49.6,87.0,0.3,4.4,0.1,6.65
"Matheus AlexandreCoritiba, 23, D(R)","172Matheus AlexandreCoritiba, 23, D(R)",  ,15(2),1296.0,1.9,1.6,1.1,0.2,1.4,0.6,0.4,-,6.65,"172Matheus AlexandreCoritiba, 23, D(R)",  ,15(2),1296.0,-,-,-,0.5,0.5,0.3,0.1,0.2,0.9,6.65,"172Matheus AlexandreCoritiba, 23, D(R)",  ,15(2),1296.0,-,0.5,29.2,88.7,0.6,1.2,-,6.65
"Tomás CuelloAthletico Paranaense, 22, AM(L)","173Tomás CuelloAthletico Paranaense, 22, AM(L)",  ,13(4),997.0,1.3,0.5,0.8,-,0.1,0.8,0.1,-,6.64,"173Tomás CuelloAthletico Paranaense, 22, AM(L)",  ,13(4),997.0,1,2,1.9,0.9,1.5,1.2,0.2,1.1,1.8,6.64,"173Tomás CuelloAthletico Paranaense, 22, AM(L)",  ,13(4),997.0,2,0.9,18.7,75.8,0.4,1.1,0.1,6.64
"Alex MuralhaCoritiba, 32, GK","174Alex MuralhaCoritiba, 32, GK",  ,17,1530.0,0.1,-,-,-,1.3,0.1,-,-,6.64,"174Alex MuralhaCoritiba, 32, GK",  ,17,1530.0,-,-,-,-,0.1,0.2,-,-,-,6.64,"174Alex MuralhaCoritiba, 32, GK",  ,17,1530.0,-,-,22.7,62.4,-,4.6,-,6.64
"Willian FariasCoritiba, 33, DMC","175Willian FariasCoritiba, 33, DMC",  ,18,1551.0,1.6,1.1,0.6,-,1.2,1.4,0.2,-,6.64,"175Willian FariasCoritiba, 33, DMC",  ,18,1551.0,-,-,0.7,0.8,1.1,1.3,-,0.6,1.3,6.64,"175Willian FariasCoritiba, 33, DMC",  ,18,1551.0,-,0.8,44.6,87.9,-,3.8,0.1,6.64
"EversonAtletico MG, 32, GK","176EversonAtletico MG, 32, GK",  ,22,1980.0,-,-,-,-,1,-,-,-,6.64,"176EversonAtletico MG, 32, GK",  ,22,1980.0,-,-,-,0.1,-,0.1,-,-,-,6.64,"176EversonAtletico MG, 32, GK",  ,22,1980.0,-,0.1,28.9,78.5,-,4.7,-,6.64
"Du QueirozCorinthians, 22, DMC","177Du QueirozCorinthians, 22, DMC",  ,17(4),1552.0,1.4,1.1,1.6,-,0.4,1.6,0.5,-,6.64,"177Du QueirozCorinthians, 22, DMC",  ,17(4),1552.0,-,2,0.9,0.4,1.2,0.3,-,0.8,2,6.64,"177Du QueirozCorinthians, 22, DMC",  ,17(4),1552.0,2,0.4,40.1,88.2,-,1.8,-,6.64
"Eduardo VargasAtletico MG, 32, AM(CLR),FW","178Eduardo VargasAtletico MG, 32, AM(CLR),FW",  ,8(6),650.0,0.2,0.2,0.6,-,0.1,0.4,-,-,6.64,"178Eduardo VargasAtletico MG, 32, AM(CLR),FW",  ,8(6),650.0,1,2,1.6,0.6,1.2,0.6,0.1,0.6,1.7,6.64,"178Eduardo VargasAtletico MG, 32, AM(CLR),FW",  ,8(6),650.0,2,0.6,22.1,88.7,-,1.1,-,6.64
"RobsonFortaleza, 31, AM(LR),FW","179RobsonFortaleza, 31, AM(LR),FW",  ,8(9),800.0,0.4,0.2,1.5,-,0.5,0.6,0.1,-,6.64,"179RobsonFortaleza, 31, AM(LR),FW",  ,8(9),800.0,4,2,1.8,1.1,0.6,1.3,0.5,0.6,1.6,6.64,"179RobsonFortaleza, 31, AM(LR),FW",  ,8(9),800.0,2,1.1,11.1,64.9,0.1,0.9,-,6.64
