Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Léo OrtizRed Bull Bragantino, 26, D(C)","23Léo OrtizRed Bull Bragantino, 26, D(C)",  ,14(1),1292.0,1.2,0.7,0.7,0.5,3.9,0.5,1.3,-,7.02,"23Léo OrtizRed Bull Bragantino, 26, D(C)",  ,14(1),1292.0,1,-,0.4,0.3,0.6,0.5,0.1,0.1,0.4,7.02,"23Léo OrtizRed Bull Bragantino, 26, D(C)",  ,14(1),1292.0,-,0.3,55.1,86.5,0.2,8.3,-,7.02
"NinoFluminense, 25, D(C)","24NinoFluminense, 25, D(C)",  ,17,1479.0,1.2,1.2,0.9,0.4,3.5,0.4,0.6,-,7.01,"24NinoFluminense, 25, D(C)",  ,17,1479.0,-,-,0.5,0.4,0.5,1.5,0.1,0.3,0.4,7.01,"24NinoFluminense, 25, D(C)",  ,17,1479.0,-,0.4,56.4,90.7,-,3.2,-,7.01
"Éverton RibeiroFlamengo, 33, AM(CLR)","25Éverton RibeiroFlamengo, 33, AM(CLR)",  ,14(7),1285.0,1.4,0.7,1,-,0.2,1,0.1,-,7.0,"25Éverton RibeiroFlamengo, 33, AM(CLR)",  ,14(7),1285.0,2,4,1,1.1,1.7,2.1,-,1,1.7,7.0,"25Éverton RibeiroFlamengo, 33, AM(CLR)",  ,14(7),1285.0,4,1.1,35.4,84.7,0.5,1.1,0.1,7.0
"Carlos de PenaInternacional, 30, AM(CL)","26Carlos de PenaInternacional, 30, AM(CL)",  ,17(3),1515.0,1,1.4,0.9,0.1,1,0.7,0.1,-,7.0,"26Carlos de PenaInternacional, 30, AM(CL)",  ,17(3),1515.0,3,4,2.1,1.6,0.5,0.7,-,0.6,0.9,7.0,"26Carlos de PenaInternacional, 30, AM(CL)",  ,17(3),1515.0,4,1.6,42.9,77.4,1.2,2.5,-,7.0
"TadeuGoias, 30, GK","27TadeuGoias, 30, GK",  ,22,1980.0,-,0.1,-,-,1,-,-,-,7.0,"27TadeuGoias, 30, GK",  ,22,1980.0,-,-,-,0.1,-,0.5,-,-,-,7.0,"27TadeuGoias, 30, GK",  ,22,1980.0,-,0.1,31.0,63.9,-,9.4,-,7.0
"WandersonInternacional, 27, AM(LR),FW","28WandersonInternacional, 27, AM(LR),FW",  ,13(1),954.0,0.5,0.1,0.9,-,0.1,0.5,-,-,7.0,"28WandersonInternacional, 27, AM(LR),FW",  ,13(1),954.0,5,1,1.4,0.8,2.1,0.7,0.1,0.6,1.5,7.0,"28WandersonInternacional, 27, AM(LR),FW",  ,13(1),954.0,1,0.8,19.9,85.3,0.5,0.3,0.1,7.0
"VinaCeara, 31, M(CR),FW","29VinaCeara, 31, M(CR),FW",  ,17(1),1434.0,0.3,0.7,0.4,-,0.2,0.8,-,-,7.0,"29VinaCeara, 31, M(CR),FW",  ,17(1),1434.0,2,2,2.1,3.1,0.7,1.6,0.2,0.6,0.9,7.0,"29VinaCeara, 31, M(CR),FW",  ,17(1),1434.0,2,3.1,34.5,80.4,1.8,2.3,0.2,7.0
"MaiconSantos FC, 33, D(C)","30MaiconSantos FC, 33, D(C)",  ,15,1276.0,1.1,1.4,0.3,0.1,4.9,0.7,1.2,-,7.0,"30MaiconSantos FC, 33, D(C)",  ,15,1276.0,-,2,0.7,0.5,0.1,0.4,0.1,0.1,0.1,7.0,"30MaiconSantos FC, 33, D(C)",  ,15,1276.0,2,0.5,43.2,82.7,0.1,5.2,-,7.0
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Germán CanoFluminense, 34, FW","31Germán CanoFluminense, 34, FW",  ,21(1),1775.0,0.4,0.1,0.7,-,0.5,0.5,0.1,-,6.99,"31Germán CanoFluminense, 34, FW",  ,21(1),1775.0,13,2,3.2,0.6,0.1,0.4,0.6,0.5,0.8,6.99,"31Germán CanoFluminense, 34, FW",  ,21(1),1775.0,2,0.6,15.3,77.4,-,0.5,-,6.99
