Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"Matías ZarachoAtletico MG, 24, M(CR)","19Matías ZarachoAtletico MG, 24, M(CR)",  ,6,485.0,2,1,1.5,-,0.8,2.5,-,-,7.01,"19Matías ZarachoAtletico MG, 24, M(CR)",  ,6,485.0,2,-,2.7,1.7,0.2,1.2,-,0.3,2.2,7.01,"19Matías ZarachoAtletico MG, 24, M(CR)",  ,6,485.0,-,1.7,45.3,86.0,-,1.5,0.2,7.01,"19Matías ZarachoAtletico MG, 24, M(CR)",  ,6,485.0,2,-,-,-,2.7,86.0,1.5,1,7.01
"WevertonPalmeiras, 34, GK","20WevertonPalmeiras, 34, GK",  ,10,900.0,-,-,-,-,0.4,0.1,-,-,7.0,"20WevertonPalmeiras, 34, GK",  ,10,900.0,-,-,-,-,-,0.1,-,-,0.1,7.0,"20WevertonPalmeiras, 34, GK",  ,10,900.0,-,-,28.4,70.4,-,3.8,-,7.0,"20WevertonPalmeiras, 34, GK",  ,10,900.0,-,-,-,-,-,70.4,0.4,-,7.0
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RenêInternacional, 29, D(L)","21RenêInternacional, 29, D(L)",  ,4(1),405.0,2,0.8,0.4,0.4,2.6,0.8,0.2,-,7.0,"21RenêInternacional, 29, D(L)",  ,4(1),405.0,-,-,-,0.6,1.6,0.4,-,0.4,1.2,7.0,"21RenêInternacional, 29, D(L)",  ,4(1),405.0,-,0.6,48.4,80.2,0.4,2.2,-,7.0,"21RenêInternacional, 29, D(L)",  ,4(1),405.0,-,-,-,-,-,80.2,1.8,-,7.0
"Igor PaixãoCoritiba, 22, AM(L)","22Igor PaixãoCoritiba, 22, AM(L)",  ,9(1),834.0,0.3,0.8,0.3,-,0.2,0.7,-,-,7.0,"22Igor PaixãoCoritiba, 22, AM(L)",  ,9(1),834.0,3,1,2.3,1.8,2.7,2.2,-,1.5,2.2,7.0,"22Igor PaixãoCoritiba, 22, AM(L)",  ,9(1),834.0,1,1.8,23.9,80.8,0.8,1.2,-,7.0,"22Igor PaixãoCoritiba, 22, AM(L)",  ,9(1),834.0,3,1,2,-,2.3,80.8,0.8,1,7.0
"Roberto FernándezBotafogo RJ, 34, GK","23Roberto FernándezBotafogo RJ, 34, GK",  ,9,810.0,0.2,-,-,-,1.2,0.1,-,-,7.0,"23Roberto FernándezBotafogo RJ, 34, GK",  ,9,810.0,-,-,-,-,-,0.2,-,-,0.1,7.0,"23Roberto FernándezBotafogo RJ, 34, GK",  ,9,810.0,-,-,26.7,65.8,-,5.7,-,7.0,"23Roberto FernándezBotafogo RJ, 34, GK",  ,9,810.0,-,-,1,-,-,65.8,0.2,1,7.0
"JorginhoAtletico GO, 31, AM(CL)","24JorginhoAtletico GO, 31, AM(CL)",  ,9,637.0,1.7,0.1,0.9,-,1,1.1,0.1,-,6.99,"24JorginhoAtletico GO, 31, AM(CL)",  ,9,637.0,2,-,1.6,1.9,1.8,1,0.2,0.4,1.7,6.99,"24JorginhoAtletico GO, 31, AM(CL)",  ,9,637.0,-,1.9,38.7,85.1,0.7,3,0.3,6.99,"24JorginhoAtletico GO, 31, AM(CL)",  ,9,637.0,2,-,3,-,1.6,85.1,1.1,2,6.99
"NinoFluminense, 25, D(C)","25NinoFluminense, 25, D(C)",  ,9,759.0,1.7,1.1,0.9,0.1,3.7,0.3,0.6,-,6.98,"25NinoFluminense, 25, D(C)",  ,9,759.0,-,-,0.2,0.3,0.4,1.2,-,0.2,0.2,6.98,"25NinoFluminense, 25, D(C)",  ,9,759.0,-,0.3,56.2,89.9,-,3.3,-,6.98,"25NinoFluminense, 25, D(C)",  ,9,759.0,-,-,1,-,0.2,89.9,1.8,-,6.98
"ArturRed Bull Bragantino, 24, AM(LR)","26ArturRed Bull Bragantino, 24, AM(LR)",  ,8(1),726.0,0.8,0.4,0.7,-,0.4,0.8,0.2,-,6.97,"26ArturRed Bull Bragantino, 24, AM(LR)",  ,8(1),726.0,2,2,2,2.8,0.8,0.7,0.2,0.6,2,6.97,"26ArturRed Bull Bragantino, 24, AM(LR)",  ,8(1),726.0,2,2.8,28.6,80.5,1.3,0.3,-,6.97,"26ArturRed Bull Bragantino, 24, AM(LR)",  ,8(1),726.0,2,2,-,-,2,80.5,0.8,1,6.97
