Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"José HurtadoRed Bull Bragantino, 20, D(R)","96José HurtadoRed Bull Bragantino, 20, D(R)",  ,2(4),236.0,1.2,-,0.8,0.2,1,-,0.2,-,6.71,"96José HurtadoRed Bull Bragantino, 20, D(R)",  ,2(4),236.0,-,1,0.3,0.5,1,0.5,0.2,-,0.5,6.71,"96José HurtadoRed Bull Bragantino, 20, D(R)",  ,2(4),236.0,1,0.5,17.2,82.5,0.5,0.2,-,6.71,"96José HurtadoRed Bull Bragantino, 20, D(R)",  ,2(4),236.0,-,1,-,-,0.3,82.5,1,-,6.71
"DanielInternacional, 28, GK","97DanielInternacional, 28, GK",  ,9,810.0,-,0.1,-,-,1.6,0.1,-,-,6.71,"97DanielInternacional, 28, GK",  ,9,810.0,-,-,-,-,-,0.3,-,-,0.1,6.71,"97DanielInternacional, 28, GK",  ,9,810.0,-,-,23.0,56.0,-,5.2,-,6.71,"97DanielInternacional, 28, GK",  ,9,810.0,-,-,2,-,-,56.0,0.1,1,6.71
"PepêCuiaba, 24, M(C)","98PepêCuiaba, 24, M(C)",  ,7(1),637.0,3,0.5,2,-,1,1.3,0.1,-,6.71,"98PepêCuiaba, 24, M(C)",  ,7(1),637.0,-,-,0.5,1,1,1.9,-,1.6,2.4,6.71,"98PepêCuiaba, 24, M(C)",  ,7(1),637.0,-,1,38.3,85.6,0.5,3.3,0.1,6.71,"98PepêCuiaba, 24, M(C)",  ,7(1),637.0,-,-,1,-,0.5,85.6,1.4,-,6.71
"Rodrigo LindosoCeara, 33, DMC","99Rodrigo LindosoCeara, 33, DMC",  ,6(1),528.0,0.9,0.6,1.1,-,1.6,0.7,0.4,-,6.7,"99Rodrigo LindosoCeara, 33, DMC",  ,6(1),528.0,-,1,0.6,1,0.3,1.6,-,0.3,0.9,6.7,"99Rodrigo LindosoCeara, 33, DMC",  ,6(1),528.0,1,1,44.9,86.6,-,4.7,-,6.7,"99Rodrigo LindosoCeara, 33, DMC",  ,6(1),528.0,-,1,4,-,0.6,86.6,1.4,-,6.7
"Hugo MouraAthletico Paranaense, 24, DMC","101Hugo MouraAthletico Paranaense, 24, DMC",  ,6(1),568.0,2.1,2.1,1.7,0.1,1,1,0.3,-,6.7,"101Hugo MouraAthletico Paranaense, 24, DMC",  ,6(1),568.0,-,-,1.6,0.4,0.3,1,0.1,0.4,1.3,6.7,"101Hugo MouraAthletico Paranaense, 24, DMC",  ,6(1),568.0,-,0.4,38.6,81.1,-,3,-,6.7,"101Hugo MouraAthletico Paranaense, 24, DMC",  ,6(1),568.0,-,-,-,-,1.6,81.1,0.6,-,6.7
"Alan PatrickInternacional, 31, M(CLR)","102Alan PatrickInternacional, 31, M(CLR)",  ,5(1),403.0,0.8,0.2,0.7,-,0.2,0.7,-,-,6.7,"102Alan PatrickInternacional, 31, M(CLR)",  ,5(1),403.0,1,-,1.2,1.8,1.5,2.2,-,2.3,1.3,6.7,"102Alan PatrickInternacional, 31, M(CLR)",  ,5(1),403.0,-,1.8,31.8,88.5,0.5,1.2,-,6.7,"102Alan PatrickInternacional, 31, M(CLR)",  ,5(1),403.0,1,-,2,-,1.2,88.5,0.3,-,6.7
"Matheus FelipeAthletico Paranaense, 23, D(C)","103Matheus FelipeAthletico Paranaense, 23, D(C)",  ,8(1),725.0,1.2,0.6,0.8,0.2,3.2,0.8,1,-,6.69,"103Matheus FelipeAthletico Paranaense, 23, D(C)",  ,8(1),725.0,1,-,0.3,0.6,-,0.3,-,-,0.6,6.69,"103Matheus FelipeAthletico Paranaense, 23, D(C)",  ,8(1),725.0,-,0.6,30.6,82.2,0.1,2.4,-,6.69,"103Matheus FelipeAthletico Paranaense, 23, D(C)",  ,8(1),725.0,1,-,1,-,0.3,82.2,1.6,-,6.69
"ErickAthletico Paranaense, 24, D(R),DMC","104ErickAthletico Paranaense, 24, D(R),DMC",  ,7(3),626.0,1.9,0.9,1.4,-,2.2,1.3,0.6,-,6.69,"104ErickAthletico Paranaense, 24, D(R),DMC",  ,7(3),626.0,-,-,0.4,0.1,0.5,0.4,-,0.6,0.7,6.69,"104ErickAthletico Paranaense, 24, D(R),DMC",  ,7(3),626.0,-,0.1,21.8,87.2,-,1.2,-,6.69,"104ErickAthletico Paranaense, 24, D(R),DMC",  ,7(3),626.0,-,-,1,-,0.4,87.2,1.3,-,6.69
"GabrielInternacional, 30, DMC","105GabrielInternacional, 30, DMC",  ,8(2),703.0,2.7,1.5,2.2,-,2.1,1.4,0.3,-,6.69,"105GabrielInternacional, 30, DMC",  ,8(2),703.0,-,-,0.2,0.2,0.2,0.8,-,0.5,0.6,6.69,"105GabrielInternacional, 30, DMC",  ,8(2),703.0,-,0.2,37.1,88.9,0.1,1.6,-,6.69,"105GabrielInternacional, 30, DMC",  ,8(2),703.0,-,-,2,-,0.2,88.9,0.4,-,6.69
"Nathan SilvaAtletico MG, 25, D(C),DMC","106Nathan SilvaAtletico MG, 25, D(C),DMC",  ,8(1),743.0,1.4,1,1.9,-,3.1,-,0.6,-,6.69,"106Nathan SilvaAtletico MG, 25, D(C),DMC",  ,8(1),743.0,-,-,0.4,0.2,-,0.2,-,0.1,0.3,6.69,"106Nathan SilvaAtletico MG, 25, D(C),DMC",  ,8(1),743.0,-,0.2,51.9,92.1,-,2.4,-,6.69,"106Nathan SilvaAtletico MG, 25, D(C),DMC",  ,8(1),743.0,-,-,4,-,0.4,92.1,3.3,-,6.69
"Pedro HenriqueInternacional, 32, AM(LR),FW","107Pedro HenriqueInternacional, 32, AM(LR),FW",  ,4(3),412.0,2,0.4,1.4,0.1,1,0.4,-,-,6.69,"107Pedro HenriqueInternacional, 32, AM(LR),FW",  ,4(3),412.0,-,-,1.9,1.1,0.9,1.7,0.4,0.9,1.4,6.69,"107Pedro HenriqueInternacional, 32, AM(LR),FW",  ,4(3),412.0,-,1.1,14.3,70.0,0.4,0.3,-,6.69,"107Pedro HenriqueInternacional, 32, AM(LR),FW",  ,4(3),412.0,-,-,2,-,1.9,70.0,1.3,-,6.69
"Lucas BragaSantos FC, 25, M(LR)","108Lucas BragaSantos FC, 25, M(LR)",  ,7(3),689.0,0.9,0.5,0.8,-,0.5,0.6,-,-,6.69,"108Lucas BragaSantos FC, 25, M(LR)",  ,7(3),689.0,-,-,1.1,0.6,1.9,3,0.1,1.3,1.6,6.69,"108Lucas BragaSantos FC, 25, M(LR)",  ,7(3),689.0,-,0.6,21.3,81.2,0.3,0.3,0.1,6.69,"108Lucas BragaSantos FC, 25, M(LR)",  ,7(3),689.0,-,-,1,-,1.1,81.2,1.1,-,6.69
"AllanAtletico MG, 25, DMC","109AllanAtletico MG, 25, DMC",  ,8(1),733.0,1.3,1.2,1.3,-,1.8,0.8,0.3,-,6.69,"109AllanAtletico MG, 25, DMC",  ,8(1),733.0,-,-,0.8,0.4,0.9,0.4,-,0.1,0.8,6.69,"109AllanAtletico MG, 25, DMC",  ,8(1),733.0,-,0.4,63.4,84.4,-,4.3,-,6.69,"109AllanAtletico MG, 25, DMC",  ,8(1),733.0,-,-,2,-,0.8,84.4,0.4,-,6.69
"CleitonRed Bull Bragantino, 24, GK","111CleitonRed Bull Bragantino, 24, GK",  ,10,900.0,-,-,0.1,-,1.5,0.1,-,-,6.69,"111CleitonRed Bull Bragantino, 24, GK",  ,10,900.0,-,-,-,-,-,0.2,-,-,-,6.69,"111CleitonRed Bull Bragantino, 24, GK",  ,10,900.0,-,-,27.5,68.0,-,5.2,-,6.69,"111CleitonRed Bull Bragantino, 24, GK",  ,10,900.0,-,-,2,-,-,68.0,0.2,1,6.69
"NonatoFluminense, 24, M(C)","112NonatoFluminense, 24, M(C)",  ,6(4),558.0,1.4,0.8,0.9,-,0.4,1,0.2,-,6.69,"112NonatoFluminense, 24, M(C)",  ,6(4),558.0,-,2,0.7,0.9,0.5,2.1,0.1,0.7,0.7,6.69,"112NonatoFluminense, 24, M(C)",  ,6(4),558.0,2,0.9,49.3,88.0,0.3,0.7,0.1,6.69,"112NonatoFluminense, 24, M(C)",  ,6(4),558.0,-,2,3,1,0.7,88.0,0.8,-,6.69
"PedroFlamengo, 25, FW","113PedroFlamengo, 25, FW",  ,3(6),372.0,0.6,-,0.7,0.1,0.7,0.4,-,-,6.69,"113PedroFlamengo, 25, FW",  ,3(6),372.0,3,-,2.2,0.6,0.6,0.6,0.1,0.3,1.2,6.69,"113PedroFlamengo, 25, FW",  ,3(6),372.0,-,0.6,7.1,75.0,-,0.1,0.1,6.69,"113PedroFlamengo, 25, FW",  ,3(6),372.0,3,-,1,-,2.2,75.0,1.6,1,6.69
"NatanRed Bull Bragantino, 21, D(C)","114NatanRed Bull Bragantino, 21, D(C)",  ,8,720.0,1.1,1.4,0.6,0.4,3.9,0.1,0.9,-,6.68,"114NatanRed Bull Bragantino, 21, D(C)",  ,8,720.0,-,-,0.4,0.4,0.4,0.6,-,0.3,-,6.68,"114NatanRed Bull Bragantino, 21, D(C)",  ,8,720.0,-,0.4,56.3,90.0,0.1,3.5,-,6.68,"114NatanRed Bull Bragantino, 21, D(C)",  ,8,720.0,-,-,2,-,0.4,90.0,1.8,-,6.68
"Éverton RibeiroFlamengo, 33, AM(CLR)","115Éverton RibeiroFlamengo, 33, AM(CLR)",  ,7(4),657.0,1.1,0.5,0.8,-,0.2,1.1,0.2,-,6.68,"115Éverton RibeiroFlamengo, 33, AM(CLR)",  ,7(4),657.0,-,2,0.7,0.7,1.5,1.8,-,1.2,1.2,6.68,"115Éverton RibeiroFlamengo, 33, AM(CLR)",  ,7(4),657.0,2,0.7,34.1,84.3,0.5,1,0.3,6.68,"115Éverton RibeiroFlamengo, 33, AM(CLR)",  ,7(4),657.0,-,2,-,-,0.7,84.3,0.4,1,6.68
"VladimirAvai FC, 33, GK","116VladimirAvai FC, 33, GK",  ,5(1),495.0,-,-,-,-,1,-,-,-,6.68,"116VladimirAvai FC, 33, GK",  ,5(1),495.0,-,-,-,-,-,0.2,-,-,-,6.68,"116VladimirAvai FC, 33, GK",  ,5(1),495.0,-,-,21.8,70.2,-,3.5,-,6.68,"116VladimirAvai FC, 33, GK",  ,5(1),495.0,-,-,1,-,-,70.2,-,-,6.68
"Renzo SaraviaBotafogo RJ, 29, D(R),M(R)","117Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,9,727.0,2.7,1.7,2.4,0.4,2.2,1.6,0.1,-,6.67,"117Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,9,727.0,-,1,0.6,0.3,1.8,1.8,-,0.8,2.4,6.67,"117Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,9,727.0,1,0.3,33.2,77.6,0.1,0.7,-,6.67,"117Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,9,727.0,-,1,5,-,0.6,77.6,0.7,-,6.67
"RonyPalmeiras, 27, AM(LR),FW","118RonyPalmeiras, 27, AM(LR),FW",  ,7(2),601.0,0.6,0.3,0.6,-,0.4,1.1,0.1,-,6.67,"118RonyPalmeiras, 27, AM(LR),FW",  ,7(2),601.0,4,-,2.3,0.6,0.4,0.9,0.7,0.9,1.4,6.67,"118RonyPalmeiras, 27, AM(LR),FW",  ,7(2),601.0,-,0.6,11.0,65.7,-,-,-,6.67,"118RonyPalmeiras, 27, AM(LR),FW",  ,7(2),601.0,4,-,2,-,2.3,65.7,0.4,-,6.67
"MaykePalmeiras, 29, D(R)","119MaykePalmeiras, 29, D(R)",  ,2(3),243.0,1.2,1.4,0.8,-,0.8,0.4,-,-,6.67,"119MaykePalmeiras, 29, D(R)",  ,2(3),243.0,-,-,0.2,0.6,1,-,-,0.2,0.2,6.67,"119MaykePalmeiras, 29, D(R)",  ,2(3),243.0,-,0.6,24.6,84.6,0.2,1.6,-,6.67,"119MaykePalmeiras, 29, D(R)",  ,2(3),243.0,-,-,-,-,0.2,84.6,1,-,6.67
"Nino ParaíbaCeara, 36, D(R),M(R)","120Nino ParaíbaCeara, 36, D(R),M(R)",  ,5(4),486.0,1.1,1,0.8,0.1,0.9,0.3,-,-,6.67,"120Nino ParaíbaCeara, 36, D(R),M(R)",  ,5(4),486.0,-,-,0.3,0.9,1.2,0.9,0.1,0.3,0.7,6.67,"120Nino ParaíbaCeara, 36, D(R),M(R)",  ,5(4),486.0,-,0.9,21.3,74.0,1.2,1,-,6.67,"120Nino ParaíbaCeara, 36, D(R),M(R)",  ,5(4),486.0,-,-,4,-,0.3,74.0,0.6,-,6.67
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diego ChurínAtletico GO, 32, FW","121Diego ChurínAtletico GO, 32, FW",  ,7(4),689.0,1.4,0.2,1.5,-,0.3,0.7,0.1,-,6.67,"121Diego ChurínAtletico GO, 32, FW",  ,7(4),689.0,2,-,1.1,0.8,0.2,1.5,0.1,0.5,1.5,6.67,"121Diego ChurínAtletico GO, 32, FW",  ,7(4),689.0,-,0.8,18.5,67.5,-,0.3,-,6.67,"121Diego ChurínAtletico GO, 32, FW",  ,7(4),689.0,2,-,1,-,1.1,67.5,3.2,-,6.67
"Rodrigo FernándezSantos FC, 26, DMC","122Rodrigo FernándezSantos FC, 26, DMC",  ,9,742.0,3.2,0.7,2.2,-,0.8,2.7,0.1,-,6.66,"122Rodrigo FernándezSantos FC, 26, DMC",  ,9,742.0,-,-,0.6,0.2,1.1,1.1,-,0.4,0.6,6.66,"122Rodrigo FernándezSantos FC, 26, DMC",  ,9,742.0,-,0.2,52.7,83.5,0.1,3,0.1,6.66,"122Rodrigo FernándezSantos FC, 26, DMC",  ,9,742.0,-,-,4,-,0.6,83.5,1.1,-,6.66
"Caio PaulistaFluminense, 24, D(L),M(LR)","123Caio PaulistaFluminense, 24, D(L),M(LR)",  ,7(4),664.0,1,0.3,0.5,0.1,0.9,0.6,-,-,6.66,"123Caio PaulistaFluminense, 24, D(L),M(LR)",  ,7(4),664.0,-,2,0.6,1.1,1.9,1.4,-,1.4,1.8,6.66,"123Caio PaulistaFluminense, 24, D(L),M(LR)",  ,7(4),664.0,2,1.1,30.1,86.7,0.3,0.2,0.1,6.66,"123Caio PaulistaFluminense, 24, D(L),M(LR)",  ,7(4),664.0,-,2,2,-,0.6,86.7,0.4,-,6.66
"Philipe SampaioBotafogo RJ, 27, D(C)","124Philipe SampaioBotafogo RJ, 27, D(C)",  ,7,524.0,1,2.1,1.3,1.3,4,0.3,0.7,-,6.66,"124Philipe SampaioBotafogo RJ, 27, D(C)",  ,7,524.0,-,-,0.4,-,0.3,0.4,0.1,-,0.3,6.66,"124Philipe SampaioBotafogo RJ, 27, D(C)",  ,7,524.0,-,-,44.4,87.1,-,1.9,-,6.66,"124Philipe SampaioBotafogo RJ, 27, D(C)",  ,7,524.0,-,-,1,1,0.4,87.1,2.3,-,6.66
"Raphael VeigaPalmeiras, 27, AM(CLR)","125Raphael VeigaPalmeiras, 27, AM(CLR)",  ,6(2),528.0,0.5,0.1,0.6,-,0.4,0.4,-,-,6.66,"125Raphael VeigaPalmeiras, 27, AM(CLR)",  ,6(2),528.0,-,-,1.9,1.9,1.8,2,0.3,1.6,1.9,6.66,"125Raphael VeigaPalmeiras, 27, AM(CLR)",  ,6(2),528.0,-,1.9,27.0,89.4,0.6,0.6,-,6.66,"125Raphael VeigaPalmeiras, 27, AM(CLR)",  ,6(2),528.0,-,-,-,-,1.9,89.4,0.3,1,6.66
"Germán ContiAmerica MG, 28, D(C)","126Germán ContiAmerica MG, 28, D(C)",  ,6(2),574.0,0.9,1.4,0.6,0.8,5.4,0.5,0.9,-,6.66,"126Germán ContiAmerica MG, 28, D(C)",  ,6(2),574.0,-,-,0.1,-,-,-,-,-,0.3,6.66,"126Germán ContiAmerica MG, 28, D(C)",  ,6(2),574.0,-,-,30.4,74.5,-,1.8,-,6.66,"126Germán ContiAmerica MG, 28, D(C)",  ,6(2),574.0,-,-,1,-,0.1,74.5,3.9,-,6.66
"João GomesFlamengo, 21, DMC","127João GomesFlamengo, 21, DMC",  ,6(1),534.0,3.6,0.7,2.4,-,0.7,2.1,-,-,6.66,"127João GomesFlamengo, 21, DMC",  ,6(1),534.0,-,-,1.1,0.3,1.1,2.1,-,1.6,0.7,6.66,"127João GomesFlamengo, 21, DMC",  ,6(1),534.0,-,0.3,39.7,87.4,-,1.4,-,6.66,"127João GomesFlamengo, 21, DMC",  ,6(1),534.0,-,-,1,-,1.1,87.4,0.6,-,6.66
"Óscar RuizJuventude, 31, Forward","128Óscar RuizJuventude, 31, Forward",  ,4(1),251.0,0.8,0.4,-,-,0.4,0.2,-,-,6.66,"128Óscar RuizJuventude, 31, Forward",  ,4(1),251.0,1,-,0.4,0.4,0.4,1.4,-,0.6,1.8,6.66,"128Óscar RuizJuventude, 31, Forward",  ,4(1),251.0,-,0.4,10.2,68.6,-,0.2,-,6.66,"128Óscar RuizJuventude, 31, Forward",  ,4(1),251.0,1,-,-,-,0.4,68.6,1.6,-,6.66
"RanieleAvai FC, 25, DMC","129RanieleAvai FC, 25, DMC",  ,10,830.0,1.8,1.3,1.1,-,2.3,1.4,1,-,6.65,"129RanieleAvai FC, 25, DMC",  ,10,830.0,-,-,0.9,0.1,0.8,1.9,-,0.6,1.2,6.65,"129RanieleAvai FC, 25, DMC",  ,10,830.0,-,0.1,39.7,78.1,-,2.6,0.1,6.65,"129RanieleAvai FC, 25, DMC",  ,10,830.0,-,-,4,-,0.9,78.1,1.7,-,6.65
"LimaCeara, 26, AM(CLR)","130LimaCeara, 26, AM(CLR)",  ,8(1),630.0,1.2,0.2,0.7,-,0.8,1,0.2,-,6.65,"130LimaCeara, 26, AM(CLR)",  ,8(1),630.0,-,-,1.4,1,1.2,1.7,0.1,1.6,0.7,6.65,"130LimaCeara, 26, AM(CLR)",  ,8(1),630.0,-,1,31.0,88.5,0.7,1.1,-,6.65,"130LimaCeara, 26, AM(CLR)",  ,8(1),630.0,-,-,1,-,1.4,88.5,0.1,-,6.65
"Bruno SilvaAvai FC, 36, M(CR)","131Bruno SilvaAvai FC, 36, M(CR)",  ,8,690.0,3.6,1.1,2.3,-,2.1,2.6,0.6,-,6.65,"131Bruno SilvaAvai FC, 36, M(CR)",  ,8,690.0,-,-,0.1,0.8,0.9,1.3,0.1,0.8,0.8,6.65,"131Bruno SilvaAvai FC, 36, M(CR)",  ,8,690.0,-,0.8,49.6,85.1,-,2.8,-,6.65,"131Bruno SilvaAvai FC, 36, M(CR)",  ,8,690.0,-,-,4,1,0.1,85.1,1.6,-,6.65
"Luis OrejuelaAthletico Paranaense, 26, D(R)","132Luis OrejuelaAthletico Paranaense, 26, D(R)",  ,6,446.0,1.5,0.7,1,0.2,1.3,1.3,0.2,-,6.65,"132Luis OrejuelaAthletico Paranaense, 26, D(R)",  ,6,446.0,-,1,-,0.3,1,1.3,-,0.5,1.3,6.65,"132Luis OrejuelaAthletico Paranaense, 26, D(R)",  ,6,446.0,1,0.3,23.7,73.9,0.3,1.5,-,6.65,"132Luis OrejuelaAthletico Paranaense, 26, D(R)",  ,6,446.0,-,1,-,-,-,73.9,1,-,6.65
"CássioCorinthians, 35, GK","133CássioCorinthians, 35, GK",  ,8,720.0,-,-,-,-,1.6,0.1,-,-,6.65,"133CássioCorinthians, 35, GK",  ,8,720.0,-,-,-,-,-,0.1,-,-,0.1,6.65,"133CássioCorinthians, 35, GK",  ,8,720.0,-,-,25.1,64.7,-,8.1,-,6.65,"133CássioCorinthians, 35, GK",  ,8,720.0,-,-,-,-,-,64.7,0.9,-,6.65
"TaisonInternacional, 34, AM(CL),FW","134TaisonInternacional, 34, AM(CL),FW",  ,2(3),250.0,1,-,0.6,-,-,0.2,-,-,6.64,"134TaisonInternacional, 34, AM(CL),FW",  ,2(3),250.0,-,1,0.8,1.4,1,1.2,-,0.4,0.8,6.64,"134TaisonInternacional, 34, AM(CL),FW",  ,2(3),250.0,1,1.4,27.2,89.7,0.6,0.8,-,6.64,"134TaisonInternacional, 34, AM(CL),FW",  ,2(3),250.0,-,1,2,-,0.8,89.7,-,1,6.64
"AyrtonFlamengo, 25, D(L),M(L)","135AyrtonFlamengo, 25, D(L),M(L)",  ,8(1),668.0,3,0.8,1.2,0.3,1.2,0.8,0.3,-,6.64,"135AyrtonFlamengo, 25, D(L),M(L)",  ,8(1),668.0,-,-,0.2,0.7,1,1.4,-,1.2,0.8,6.64,"135AyrtonFlamengo, 25, D(L),M(L)",  ,8(1),668.0,-,0.7,30.4,77.4,0.2,1.4,-,6.64,"135AyrtonFlamengo, 25, D(L),M(L)",  ,8(1),668.0,-,-,1,-,0.2,77.4,0.4,1,6.64
"Igor ViniciusSao Paulo, 25, D(R),M(R)","136Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,5(2),432.0,1.9,0.9,1,-,0.4,0.4,-,-,6.64,"136Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,5(2),432.0,-,1,0.4,0.6,0.6,0.7,-,0.6,1.6,6.64,"136Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,5(2),432.0,1,0.6,23.6,77.6,0.3,0.7,-,6.64,"136Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,5(2),432.0,-,1,1,-,0.4,77.6,0.9,-,6.64
"JandreiSao Paulo, 29, GK","137JandreiSao Paulo, 29, GK",  ,9,810.0,-,0.1,-,-,1.2,-,-,-,6.63,"137JandreiSao Paulo, 29, GK",  ,9,810.0,-,-,-,0.1,-,0.1,-,-,-,6.63,"137JandreiSao Paulo, 29, GK",  ,9,810.0,-,0.1,36.6,64.7,-,9.6,-,6.63,"137JandreiSao Paulo, 29, GK",  ,9,810.0,-,-,-,-,-,64.7,0.6,-,6.63
"MatheuzinhoFlamengo, 21, D(R)","138MatheuzinhoFlamengo, 21, D(R)",  ,8(1),733.0,1.9,0.7,1.2,0.2,1.6,0.6,0.6,-,6.63,"138MatheuzinhoFlamengo, 21, D(R)",  ,8(1),733.0,-,-,0.3,1.1,0.7,0.2,-,0.2,1,6.63,"138MatheuzinhoFlamengo, 21, D(R)",  ,8(1),733.0,-,1.1,39.4,87.3,0.4,3,-,6.63,"138MatheuzinhoFlamengo, 21, D(R)",  ,8(1),733.0,-,-,2,-,0.3,87.3,0.8,-,6.63
"Eduardo SashaAtletico MG, 30, AM(CLR),FW","139Eduardo SashaAtletico MG, 30, AM(CLR),FW",  ,5(3),432.0,0.3,0.5,0.6,-,-,0.3,-,-,6.63,"139Eduardo SashaAtletico MG, 30, AM(CLR),FW",  ,5(3),432.0,2,-,1.9,0.5,0.4,0.8,0.3,0.3,1.3,6.63,"139Eduardo SashaAtletico MG, 30, AM(CLR),FW",  ,5(3),432.0,-,0.5,16.8,84.3,-,-,0.1,6.63,"139Eduardo SashaAtletico MG, 30, AM(CLR),FW",  ,5(3),432.0,2,-,1,-,1.9,84.3,0.8,-,6.63
"AlemãoInternacional, 24, FW","141AlemãoInternacional, 24, FW",  ,2(8),374.0,0.7,-,1.2,-,0.1,0.4,0.1,-,6.63,"141AlemãoInternacional, 24, FW",  ,2(8),374.0,2,-,1,0.4,1.8,1.7,-,1.4,3.1,6.63,"141AlemãoInternacional, 24, FW",  ,2(8),374.0,-,0.4,8.4,65.5,0.1,0.4,-,6.63,"141AlemãoInternacional, 24, FW",  ,2(8),374.0,2,-,-,-,1,65.5,0.7,1,6.63
"Igor GomesSao Paulo, 23, M(CLR)","142Igor GomesSao Paulo, 23, M(CLR)",  ,8(2),782.0,0.8,0.8,1.5,-,0.4,0.7,-,-,6.63,"142Igor GomesSao Paulo, 23, M(CLR)",  ,8(2),782.0,-,1,0.6,1.1,0.8,1.2,0.1,0.7,0.7,6.63,"142Igor GomesSao Paulo, 23, M(CLR)",  ,8(2),782.0,1,1.1,34.3,80.5,0.7,2,0.3,6.63,"142Igor GomesSao Paulo, 23, M(CLR)",  ,8(2),782.0,-,1,2,-,0.6,80.5,1.2,-,6.63
"Gabriel VeronPalmeiras, 19, AM(LR)","143Gabriel VeronPalmeiras, 19, AM(LR)",  ,3(2),242.0,1,0.8,0.2,-,0.2,-,-,-,6.61,"143Gabriel VeronPalmeiras, 19, AM(LR)",  ,3(2),242.0,-,1,1,0.8,1,0.8,-,1,1,6.61,"143Gabriel VeronPalmeiras, 19, AM(LR)",  ,3(2),242.0,1,0.8,10.6,79.2,-,0.4,-,6.61,"143Gabriel VeronPalmeiras, 19, AM(LR)",  ,3(2),242.0,-,1,-,-,1,79.2,0.4,1,6.61
"Matheus AlexandreCoritiba, 23, D(R)","144Matheus AlexandreCoritiba, 23, D(R)",  ,6(1),562.0,2.3,1.1,1.3,0.1,2,0.6,0.6,-,6.61,"144Matheus AlexandreCoritiba, 23, D(R)",  ,6(1),562.0,-,-,-,0.9,0.6,0.4,0.1,0.3,0.7,6.61,"144Matheus AlexandreCoritiba, 23, D(R)",  ,6(1),562.0,-,0.9,30.4,88.7,0.4,1.7,-,6.61,"144Matheus AlexandreCoritiba, 23, D(R)",  ,6(1),562.0,-,-,3,-,-,88.7,1.9,-,6.61
"Rafael ForsterJuventude, 32, D(CL),DMC","145Rafael ForsterJuventude, 32, D(CL),DMC",  ,8,710.0,1.8,1.3,0.5,0.3,4.5,1,1.1,-,6.61,"145Rafael ForsterJuventude, 32, D(CL),DMC",  ,8,710.0,-,-,0.4,0.1,0.3,0.6,-,0.1,0.5,6.61,"145Rafael ForsterJuventude, 32, D(CL),DMC",  ,8,710.0,-,0.1,51.1,78.7,-,6,-,6.61,"145Rafael ForsterJuventude, 32, D(CL),DMC",  ,8,710.0,-,-,-,-,0.4,78.7,1.4,-,6.61
"Kaique RochaInternacional, 21, D(C)","146Kaique RochaInternacional, 21, D(C)",  ,5,423.0,1,1.6,0.6,1.2,4.2,0.6,0.4,-,6.61,"146Kaique RochaInternacional, 21, D(C)",  ,5,423.0,-,-,0.8,-,-,0.6,-,-,-,6.61,"146Kaique RochaInternacional, 21, D(C)",  ,5,423.0,-,-,40.8,83.3,-,1.2,-,6.61,"146Kaique RochaInternacional, 21, D(C)",  ,5,423.0,-,-,1,-,0.8,83.3,1.6,-,6.61
"Gabriel MercadoInternacional, 35, D(CR)","147Gabriel MercadoInternacional, 35, D(CR)",  ,6(2),591.0,1.1,0.6,0.5,0.6,2.4,0.5,0.6,-,6.61,"147Gabriel MercadoInternacional, 35, D(CR)",  ,6(2),591.0,-,-,0.1,0.3,-,0.8,-,-,0.1,6.61,"147Gabriel MercadoInternacional, 35, D(CR)",  ,6(2),591.0,-,0.3,32.0,88.7,-,1.8,-,6.61,"147Gabriel MercadoInternacional, 35, D(CR)",  ,6(2),591.0,-,-,2,-,0.1,88.7,1,-,6.61
"Wellington RatoAtletico GO, 30, AM(LR),FW","148Wellington RatoAtletico GO, 30, AM(LR),FW",  ,9(1),770.0,0.8,0.2,0.9,0.1,0.5,0.8,-,-,6.61,"148Wellington RatoAtletico GO, 30, AM(LR),FW",  ,9(1),770.0,2,-,2.4,1.2,0.7,1.6,0.3,0.6,1.1,6.61,"148Wellington RatoAtletico GO, 30, AM(LR),FW",  ,9(1),770.0,-,1.2,28.4,80.3,0.4,1.8,-,6.61,"148Wellington RatoAtletico GO, 30, AM(LR),FW",  ,9(1),770.0,2,-,-,-,2.4,80.3,0.2,-,6.61
