,J,J,J,J,J,J,J,J,J,J,J,J,J,o,o,o,o,o,o,o,o,o,o,o,o,o,g,g,g,g,g,g,g,g,g,g,g,g,g,g,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,o,o,o,o,o,o,o,o,o,o,o,o,r,r,r,r,r,r,r,r,r,r,r,r
,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador
188,  ,6(3),464.0,0.4,-,0.6,-,-,0.6,-,-,6.53,"David TeransAthletico Paranaense, 28, AM(CL)",  ,12(1),1104.0,1.1,1.2,0.6,0.3,3.2,0.2,0.8,-,6.63,"Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,7(3),619.0,-,-,0.7,1.5,0.4,0.9,0.2,1,1.1,6.69,"PatricAmerica MG, 33, D(LR),M(R)",  ,6(3),464.0,2,1,1.2,1.6,0.8,0.6,0.2,0.3,1.8,6.53,"David TeransAthletico Paranaense, 28, AM(CL)",  ,12(1),1104.0,-,-,0.2,0.1,-,0.2,-,-,0.2,6.63,"Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,7(3),619.0,-,1.5,27.2,77.2,1.7,1.3,-,6.69,"PatricAmerica MG, 33, D(LR),M(R)",  ,6(3),464.0,1,1.6,15.8,76.1,0.9,0.6,-,6.53,"David TeransAthletico Paranaense, 28, AM(CL)"
189,  ,4(2),354.0,2.2,1,1.2,-,0.3,1.3,0.7,-,6.53,"CamachoSantos FC, 32, DMC",  ,10(3),953.0,0.8,0.6,0.5,0.2,0.5,0.9,0.2,-,6.62,"Vinícius SilvaGoias, 29, AM(LR),FW",  ,9,810.0,-,-,-,-,-,0.3,-,-,-,6.69,"CésarJuventude, 27, GK",  ,4(2),354.0,-,-,-,0.5,0.2,0.2,-,0.2,0.2,6.53,"CamachoSantos FC, 32, DMC",  ,10(3),953.0,-,2,1.5,1.4,1.5,0.8,0.3,0.8,1.7,6.62,"Vinícius SilvaGoias, 29, AM(LR),FW",  ,9,810.0,-,-,22.3,72.6,-,2.8,-,6.69,"CésarJuventude, 27, GK",  ,4(2),354.0,-,0.5,37.0,86.0,-,0.5,-,6.53,"CamachoSantos FC, 32, DMC"
190,  ,6(1),505.0,0.6,1.1,0.6,-,0.4,1.1,0.3,-,6.53,"Patrick de PaulaBotafogo RJ, 22, DMC",  ,14(4),1177.0,1.9,0.6,1.6,-,0.5,0.4,0.1,-,6.62,"ChicoJuventude, 31, AM(CLR)",  ,2(5),297.0,-,2,0.9,1.1,1.1,0.4,-,0.4,1.1,6.68,"João CardosoInternacional, 20, DMC",  ,6(1),505.0,-,-,1.4,-,0.9,1.3,-,0.9,1.1,6.53,"Patrick de PaulaBotafogo RJ, 22, DMC",  ,14(4),1177.0,-,2,1,1.2,0.7,2.3,0.1,0.9,1.4,6.62,"ChicoJuventude, 31, AM(CLR)",  ,2(5),297.0,2,1.1,20.6,86.1,-,0.6,-,6.68,"João CardosoInternacional, 20, DMC",  ,6(1),505.0,-,-,29.9,75.1,-,2.6,-,6.53,"Patrick de PaulaBotafogo RJ, 22, DMC"
191,  ,10,871.0,1.2,0.8,0.6,-,1.2,0.5,0.8,-,6.53,"JuninhoAmerica MG, 34, D(L),M(CR)",  ,17(2),1555.0,0.9,0.7,1.5,-,0.3,0.6,0.1,-,6.62,"Igor GomesSao Paulo, 23, M(CLR)",  ,9(1),714.0,1,1,1.5,1.2,0.7,1.3,0.1,0.9,1.8,6.68,"Eduardo BiasiAvai FC, 25, M(C)",  ,10,871.0,-,-,0.3,1.1,1.4,0.6,0.1,1.2,1.5,6.53,"JuninhoAmerica MG, 34, D(L),M(CR)",  ,17(2),1555.0,-,2,0.8,1.6,0.7,1,0.1,0.8,1.1,6.62,"Igor GomesSao Paulo, 23, M(CLR)",  ,9(1),714.0,1,1.2,28.4,85.9,0.2,1.5,0.3,6.68,"Eduardo BiasiAvai FC, 25, M(C)",  ,10,871.0,-,1.1,28.6,76.6,0.3,1.4,-,6.53,"JuninhoAmerica MG, 34, D(L),M(CR)"
192,  ,4(2),340.0,0.5,0.7,0.3,0.2,2.2,0.3,-,-,6.53,"Fábio SantosCorinthians, 36, D(L)",  ,15(2),1248.0,2.1,0.7,1.1,0.1,1.2,0.8,0.3,-,6.62,"RaúlRed Bull Bragantino, 26, D(R),DMC",  ,7(1),552.0,-,-,0.5,0.5,0.6,1.5,-,0.8,0.5,6.68,"RaúlRed Bull Bragantino, 26, D(R),DMC",  ,4(2),340.0,2,-,0.3,0.2,0.2,0.3,-,0.2,0.5,6.53,"Fábio SantosCorinthians, 36, D(L)",  ,15(2),1248.0,-,-,0.6,0.3,0.5,1.6,-,0.6,0.8,6.62,"RaúlRed Bull Bragantino, 26, D(R),DMC",  ,7(1),552.0,-,0.5,44.1,83.3,-,5,0.1,6.68,"RaúlRed Bull Bragantino, 26, D(R),DMC",  ,4(2),340.0,-,0.2,36.7,84.5,0.2,0.5,-,6.53,"Fábio SantosCorinthians, 36, D(L)"
193,  ,4(2),347.0,1.7,1.3,1.2,-,0.8,1.3,0.2,-,6.53,"João CardosoInternacional, 20, DMC",  ,11(4),931.0,1.1,0.3,1.1,-,-,0.8,-,-,6.61,"Lucas LimaFortaleza, 32, AM(CR)",  ,10,860.0,-,1,0.3,1.2,1.2,0.1,-,0.3,1.3,6.67,"Rodrigo SoaresJuventude, 29, D(R),M(R)",  ,4(2),347.0,1,-,0.8,0.5,0.8,0.3,-,1.3,1.5,6.53,"João CardosoInternacional, 20, DMC",  ,11(4),931.0,-,2,0.6,1.7,0.7,1.4,0.2,0.5,1.5,6.61,"Lucas LimaFortaleza, 32, AM(CR)",  ,10,860.0,1,1.2,45.8,84.3,1.3,3.6,-,6.67,"Rodrigo SoaresJuventude, 29, D(R),M(R)",  ,4(2),347.0,-,0.5,27.2,85.9,0.2,0.5,-,6.53,"João CardosoInternacional, 20, DMC"
194,  ,4(1),369.0,1.6,0.6,2,-,0.2,1.4,0.2,-,6.53,"AlissonSao Paulo, 29, AM(CLR)",  ,16(1),1225.0,1.2,0.6,0.8,-,0.5,1,0.2,-,6.61,"Rafael GavaCuiaba, 29, AM(C)",  ,7,535.0,-,1,0.6,1.3,0.7,0.6,-,0.9,0.7,6.67,"FelipeFortaleza, 28, DMC",  ,4(1),369.0,-,1,1,0.4,0.6,1.4,-,1.6,1,6.53,"AlissonSao Paulo, 29, AM(CLR)",  ,16(1),1225.0,-,1,1.1,1.2,0.4,0.8,0.2,0.6,1.2,6.61,"Rafael GavaCuiaba, 29, AM(C)",  ,7,535.0,1,1.3,45.6,86.8,-,3.9,0.1,6.67,"FelipeFortaleza, 28, DMC",  ,4(1),369.0,1,0.4,24.0,81.7,-,0.4,-,6.53,"AlissonSao Paulo, 29, AM(CLR)"
195,  ,8(2),745.0,1.9,0.6,1.1,0.1,2.6,0.8,-,-,6.53,"PatricAmerica MG, 33, D(LR),M(R)",  ,10(5),812.0,1.3,0.7,0.6,-,0.9,0.9,0.2,-,6.61,"Víctor CantilloCorinthians, 28, DMC",  ,10,900.0,-,-,-,-,-,0.1,-,-,0.1,6.67,"WevertonPalmeiras, 34, GK",  ,8(2),745.0,-,-,0.8,1.6,0.4,0.8,0.1,0.9,1.4,6.53,"PatricAmerica MG, 33, D(LR),M(R)",  ,10(5),812.0,-,-,0.1,0.4,0.5,1.3,-,0.3,0.4,6.61,"Víctor CantilloCorinthians, 28, DMC",  ,10,900.0,-,-,24.4,72.1,-,4.9,-,6.67,"WevertonPalmeiras, 34, GK",  ,8(2),745.0,-,1.6,35.2,73.3,1.5,1.7,-,6.53,"PatricAmerica MG, 33, D(LR),M(R)"
196,  ,4(5),425.0,2.7,0.6,1.7,-,0.9,1.1,-,-,6.53,"RubensAtletico MG, 21, D(L)",  ,6(7),644.0,1.6,1.2,1.1,-,0.8,1.4,0.1,-,6.61,"João CardosoInternacional, 20, DMC",  ,9(1),734.0,-,-,-,0.2,0.5,0.2,-,0.2,1,6.67,"Matheus AlexandreCoritiba, 23, D(R)",  ,4(5),425.0,-,-,0.8,0.7,1.1,0.1,-,0.7,1.1,6.53,"RubensAtletico MG, 21, D(L)",  ,6(7),644.0,1,2,0.8,0.8,1,0.4,-,0.8,1.3,6.61,"João CardosoInternacional, 20, DMC",  ,9(1),734.0,-,0.2,28.4,88.7,0.7,0.9,-,6.67,"Matheus AlexandreCoritiba, 23, D(R)",  ,4(5),425.0,-,0.7,14.8,74.4,0.3,0.7,-,6.53,"RubensAtletico MG, 21, D(L)"
197,  ,8,682.0,1.5,0.8,0.5,0.4,1.5,0.5,0.3,-,6.52,"Fabricio BustosInternacional, 26, D(R)",  ,9(6),853.0,1.3,0.7,1.3,-,0.5,0.9,0.1,-,6.61,"Vinícius LopesBotafogo RJ, 23, AM(LR),FW",  ,3(3),257.0,-,1,0.8,1.7,0.3,1.5,-,0.3,0.8,6.66,"MiguelRed Bull Bragantino, 19, AM(C)",  ,8,682.0,-,-,0.6,0.6,0.1,0.4,0.1,0.6,0.8,6.52,"Fabricio BustosInternacional, 26, D(R)",  ,9(6),853.0,2,-,0.9,0.6,1.1,1.7,0.2,1.1,1.5,6.61,"Vinícius LopesBotafogo RJ, 23, AM(LR),FW",  ,3(3),257.0,1,1.7,11.3,66.2,1,0.3,-,6.66,"MiguelRed Bull Bragantino, 19, AM(C)",  ,8,682.0,-,0.6,38.6,79.9,0.1,1.1,-,6.52,"Fabricio BustosInternacional, 26, D(R)"
198,  ,4(4),317.0,0.6,0.1,0.4,0.1,0.6,0.3,0.1,-,6.52,"ReinaldoSao Paulo, 32, D(L),M(L)",  ,15(4),1311.0,1.2,0.6,0.6,0.3,1.2,0.8,0.2,-,6.61,"Daniel BorgesBotafogo RJ, 29, D(LR)",  ,5(1),461.0,-,-,0.2,0.2,-,-,-,-,0.3,6.66,"Matheus FelipeAthletico Paranaense, 23, D(C)",  ,4(4),317.0,1,1,0.4,1.3,0.6,0.4,-,0.5,0.4,6.52,"ReinaldoSao Paulo, 32, D(L),M(L)",  ,15(4),1311.0,1,2,0.4,1.5,0.6,0.6,0.1,0.2,1.2,6.61,"Daniel BorgesBotafogo RJ, 29, D(LR)",  ,5(1),461.0,-,0.2,25.8,82.6,-,1.3,-,6.66,"Matheus FelipeAthletico Paranaense, 23, D(C)",  ,4(4),317.0,1,1.3,15.8,73.0,1,0.5,0.1,6.52,"ReinaldoSao Paulo, 32, D(L),M(L)"
199,  ,2(3),221.0,0.4,0.2,1.6,-,-,0.4,-,-,6.52,"RwanSantos FC, 21, Forward",  ,15(5),1364.0,1.9,0.7,1.1,0.3,2,0.8,0.2,-,6.61,"PatricAmerica MG, 33, D(LR),M(R)",  ,9(1),781.0,-,-,1.1,0.7,0.7,1.1,-,0.4,1.1,6.66,"AllanAtletico MG, 25, DMC",  ,2(3),221.0,1,-,1.6,0.6,0.4,1.4,0.2,1.2,3,6.52,"RwanSantos FC, 21, Forward",  ,15(5),1364.0,-,-,0.8,1.6,0.4,0.9,0.2,1,1.3,6.61,"PatricAmerica MG, 33, D(LR),M(R)",  ,9(1),781.0,-,0.7,61.1,88.4,-,6,-,6.66,"AllanAtletico MG, 25, DMC",  ,2(3),221.0,-,0.6,10.8,77.8,-,0.4,-,6.52,"RwanSantos FC, 21, Forward"
200,  ,4(5),428.0,0.7,0.4,0.6,-,0.4,0.9,-,-,6.52,"PedrinhoAmerica MG, 22, AM(CL)",  ,13(3),1141.0,0.8,1.1,1.3,-,1.8,0.6,0.2,-,6.61,"HaynerAtletico GO, 26, D(R)",  ,5(2),488.0,-,-,0.3,0.3,-,0.3,-,-,0.3,6.66,"Thalisson KelvenJuventude, 24, D(C)",  ,4(5),428.0,1,-,1.8,0.8,1.8,0.7,0.2,1.3,1.4,6.52,"PedrinhoAmerica MG, 22, AM(CL)",  ,13(3),1141.0,-,2,0.5,0.9,1.4,1.6,0.4,0.3,1.7,6.61,"HaynerAtletico GO, 26, D(R)",  ,5(2),488.0,-,0.3,36.6,89.8,-,3.3,-,6.66,"Thalisson KelvenJuventude, 24, D(C)",  ,4(5),428.0,-,0.8,14.0,77.0,0.2,1,-,6.52,"PedrinhoAmerica MG, 22, AM(CL)"
201,  ,5(3),562.0,1.1,0.6,0.6,0.1,3.6,0.3,0.5,-,6.52,"Gabriel LacerdaCeara, 22, D(C)",  ,6(7),570.0,1.1,0.4,0.8,0.2,0.7,0.3,-,-,6.6,"Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,11,990.0,-,-,-,-,-,0.2,-,-,-,6.66,"FábioFluminense, 41, GK",  ,5(3),562.0,-,-,0.6,-,-,-,-,0.3,0.5,6.52,"Gabriel LacerdaCeara, 22, D(C)",  ,6(7),570.0,2,-,1.1,0.7,0.4,1,-,0.4,0.6,6.6,"Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,11,990.0,-,-,19.3,75.5,-,1.9,-,6.66,"FábioFluminense, 41, GK",  ,5(3),562.0,-,-,30.3,77.3,-,2.3,-,6.52,"Gabriel LacerdaCeara, 22, D(C)"
202,  ,8(2),710.0,1,1.4,0.6,-,2.1,0.3,0.3,-,6.52,"AbnerAthletico Paranaense, 22, D(L),M(L)",  ,8(5),696.0,1.8,1.3,1.2,0.1,1.8,1.2,0.8,-,6.6,"Jean IrmerJuventude, 27, DMC",  ,10,900.0,-,-,0.8,0.2,-,0.3,0.1,-,0.5,6.66,"HenriqueCoritiba, 35, D(CR)",  ,8(2),710.0,-,-,0.4,0.8,0.1,0.6,-,0.4,0.3,6.52,"AbnerAthletico Paranaense, 22, D(L),M(L)",  ,8(5),696.0,-,-,0.8,0.2,0.2,0.8,-,0.4,0.7,6.6,"Jean IrmerJuventude, 27, DMC",  ,10,900.0,-,0.2,46.7,89.9,0.1,4.1,-,6.66,"HenriqueCoritiba, 35, D(CR)",  ,8(2),710.0,-,0.8,36.1,81.2,0.3,2.1,0.1,6.52,"AbnerAthletico Paranaense, 22, D(L),M(L)"
203,  ,4(3),395.0,2.7,0.6,0.9,-,0.4,1.4,0.1,-,6.52,"PatrickSao Paulo, 30, M(CL)",  ,11(4),921.0,1.4,0.3,1.1,-,0.4,0.9,-,-,6.59,"Agustín CanobbioAthletico Paranaense, 23, AM(R)",,,,,,,,,,,,,,Erro:502,  ,4(3),395.0,-,-,0.9,0.6,0.7,1.3,0.1,1.6,2.3,6.52,"PatrickSao Paulo, 30, M(CL)",  ,11(4),921.0,2,-,0.8,0.7,0.9,1.5,0.2,1,1.3,6.59,"Agustín CanobbioAthletico Paranaense, 23, AM(R)",,,,,,,,,,,,Erro:502,  ,4(3),395.0,-,0.6,20.1,78.0,0.4,0.1,0.1,6.52,"PatrickSao Paulo, 30, M(CL)"
204,  ,7(2),676.0,1,1.6,1.6,-,2.3,0.7,0.3,-,6.51,"HaynerAtletico GO, 26, D(R)",  ,8(8),767.0,1.6,0.6,0.6,-,0.6,0.6,0.1,-,6.59,"Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,9(1),775.0,-,-,0.4,0.7,0.3,0.9,-,0.6,1,6.66,"João LucasCuiaba, 24, D(R)",  ,7(2),676.0,-,-,0.1,0.4,1.3,1.4,0.3,0.2,2.4,6.51,"HaynerAtletico GO, 26, D(R)",  ,8(8),767.0,1,2,0.6,0.7,0.6,0.5,-,0.4,1.4,6.59,"Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,9(1),775.0,-,0.7,28.1,75.1,0.7,2,-,6.66,"João LucasCuiaba, 24, D(R)",  ,7(2),676.0,-,0.4,23.1,78.4,0.4,1.7,-,6.51,"HaynerAtletico GO, 26, D(R)"
205,  ,10,815.0,1,0.8,0.8,0.1,1.8,1.2,0.6,-,6.51,"Lucas KalAmerica MG, 26, D(CL),DMC",  ,9(7),784.0,1.8,0.3,1.3,-,0.3,0.9,-,-,6.58,"Paulo HenriqueJuventude, 26, D(R),M(R)",  ,7(2),706.0,-,-,0.4,0.4,0.2,0.3,-,-,0.4,6.65,"Diego CostaSao Paulo, 23, D(C)",  ,10,815.0,-,-,0.9,0.4,0.4,0.3,-,0.4,0.7,6.51,"Lucas KalAmerica MG, 26, D(CL),DMC",  ,9(7),784.0,1,-,0.4,0.7,1.6,0.4,0.2,0.9,0.9,6.58,"Paulo HenriqueJuventude, 26, D(R),M(R)",  ,7(2),706.0,-,0.4,45.7,85.2,0.2,3.4,-,6.65,"Diego CostaSao Paulo, 23, D(C)",  ,10,815.0,-,0.4,35.0,72.6,-,2,-,6.51,"Lucas KalAmerica MG, 26, D(CL),DMC"
206,  ,6(2),553.0,0.3,0.1,0.6,-,-,-,0.1,-,6.51,"Isidro PittaJuventude, 23, FW",  ,4(7),528.0,0.6,0.1,0.5,-,-,0.5,-,-,6.58,"TaisonInternacional, 34, AM(CL),FW",  ,6(4),599.0,-,-,0.2,0.6,0.5,0.1,-,0.1,0.9,6.65,"Thiago MaiaFlamengo, 25, DMC",  ,6(2),553.0,1,-,1.3,0.5,1.1,1.4,0.4,0.4,1.6,6.51,"Isidro PittaJuventude, 23, FW",  ,4(7),528.0,1,1,1.1,1.3,0.9,1.5,0.2,0.7,1,6.58,"TaisonInternacional, 34, AM(CL),FW",  ,6(4),599.0,-,0.6,43.1,88.9,0.2,1.8,0.1,6.65,"Thiago MaiaFlamengo, 25, DMC",  ,6(2),553.0,-,0.5,14.5,76.7,0.1,0.6,-,6.51,"Isidro PittaJuventude, 23, FW"
207,  ,8(1),743.0,1.8,1.4,2.2,0.4,3.3,0.6,0.4,-,6.51,"Diego CostaSao Paulo, 23, D(C)",  ,15(3),1449.0,1.7,1.2,1.8,0.3,2.8,0.6,0.6,-,6.58,"Diego CostaSao Paulo, 23, D(C)",  ,8(3),668.0,2,-,1.6,0.7,0.7,0.7,-,1,2.1,6.65,"Felipe AzevedoAmerica MG, 35, AM(CLR),FW",  ,8(1),743.0,-,-,0.1,0.2,0.8,0.2,-,-,0.6,6.51,"Diego CostaSao Paulo, 23, D(C)",  ,15(3),1449.0,-,-,0.3,0.3,0.5,0.3,-,-,0.5,6.58,"Diego CostaSao Paulo, 23, D(C)",  ,8(3),668.0,-,0.7,22.0,73.6,0.2,1.1,-,6.65,"Felipe AzevedoAmerica MG, 35, AM(CLR),FW",  ,8(1),743.0,-,0.2,46.7,81.9,0.2,3.4,-,6.51,"Diego CostaSao Paulo, 23, D(C)"
208,  ,6(2),515.0,0.6,1.4,0.6,0.3,4.5,0.3,1.4,-,6.51,"Thalisson KelvenJuventude, 24, D(C)",  ,12(5),1024.0,1.6,1,1.2,0.2,0.6,0.9,0.3,-,6.58,"Thiago MaiaFlamengo, 25, DMC",  ,2(4),210.0,-,1,1.2,1.5,0.7,1.7,-,0.5,0.7,6.65,"Bruno OliveiraSantos FC, 24, Midfielder",  ,6(2),515.0,-,-,0.3,-,-,0.3,-,0.3,0.4,6.51,"Thalisson KelvenJuventude, 24, D(C)",  ,12(5),1024.0,-,-,0.3,0.4,0.5,0.1,-,0.4,0.9,6.58,"Thiago MaiaFlamengo, 25, DMC",  ,2(4),210.0,1,1.5,14.7,76.1,1,1,0.5,6.65,"Bruno OliveiraSantos FC, 24, Midfielder",  ,6(2),515.0,-,-,26.0,85.6,-,1.1,-,6.51,"Thalisson KelvenJuventude, 24, D(C)"
209,  ,7(3),485.0,0.6,0.5,0.9,-,0.7,-,0.1,-,6.5,"Luiz FernandoAtletico GO, 25, AM(CLR)",  ,11(8),953.0,1,0.4,0.8,-,0.2,0.7,0.1,-,6.58,"AirtonAtletico GO, 23, AM(R)",  ,4(4),446.0,-,-,1,0.4,-,0.1,-,-,0.1,6.65,"Germán ContiAmerica MG, 28, D(C)",  ,7(3),485.0,-,-,1.1,0.6,0.8,1.6,0.3,0.4,1,6.5,"Luiz FernandoAtletico GO, 25, AM(CLR)",  ,11(8),953.0,2,2,1.2,0.6,0.9,0.7,0.1,0.7,1.2,6.58,"AirtonAtletico GO, 23, AM(R)",  ,4(4),446.0,-,0.4,25.8,79.1,-,2.1,-,6.65,"Germán ContiAmerica MG, 28, D(C)",  ,7(3),485.0,-,0.6,16.0,80.6,0.3,0.3,0.1,6.5,"Luiz FernandoAtletico GO, 25, AM(CLR)"
210,  ,3(5),274.0,1,0.1,0.3,-,0.6,0.6,0.3,-,6.5,"Fernando SobralCeara, 27, M(CLR)",  ,11(4),1003.0,0.7,1.2,0.7,0.3,4.5,0.3,1.3,1,6.58,"Thalisson KelvenJuventude, 24, D(C)",  ,6,512.0,-,-,0.2,-,-,0.7,-,-,0.3,6.64,"Philipe SampaioBotafogo RJ, 27, D(C)",  ,3(5),274.0,-,-,1,0.4,0.8,0.8,-,0.4,0.6,6.5,"Fernando SobralCeara, 27, M(CLR)",  ,11(4),1003.0,-,-,0.3,0.1,-,0.3,-,0.1,0.3,6.58,"Thalisson KelvenJuventude, 24, D(C)",  ,6,512.0,-,-,52.2,87.2,-,3.7,-,6.64,"Philipe SampaioBotafogo RJ, 27, D(C)",  ,3(5),274.0,-,0.4,18.1,80.0,0.1,1.3,-,6.5,"Fernando SobralCeara, 27, M(CLR)"
211,  ,9,743.0,1.3,1.4,0.9,-,0.7,1.1,0.3,-,6.5,"Willian FariasCoritiba, 33, DMC",  ,8(5),668.0,0.8,0.5,0.8,-,0.3,0.6,0.2,-,6.58,"HyoranRed Bull Bragantino, 29, M(CLR)",  ,9,746.0,-,-,0.4,-,0.2,0.6,-,0.1,0.2,6.64,"ReynaldoGoias, 25, D(C)",  ,9,743.0,-,-,0.6,0.8,1,1.4,-,1,1.3,6.5,"Willian FariasCoritiba, 33, DMC",  ,8(5),668.0,3,2,2.3,0.8,0.2,0.4,-,0.5,1.4,6.58,"HyoranRed Bull Bragantino, 29, M(CLR)",  ,9,746.0,-,-,21.9,82.7,-,1.1,-,6.64,"ReynaldoGoias, 25, D(C)",  ,9,743.0,-,0.8,47.8,89.3,-,3.9,0.1,6.5,"Willian FariasCoritiba, 33, DMC"
212,  ,7,616.0,0.9,1.7,0.9,0.3,4.1,0.3,0.7,-,6.5,"Alan EmpereurCuiaba, 28, D(C)",  ,8(6),940.0,1.7,1.1,0.9,0.1,1.3,0.7,0.1,-,6.58,"HugoBotafogo RJ, 20, D(L),M(L)",  ,4(4),385.0,-,1,0.4,0.3,0.4,0.4,-,-,0.3,6.64,"JadsomRed Bull Bragantino, 21, DMC",  ,7,616.0,-,-,-,-,0.1,1.4,-,-,0.3,6.5,"Alan EmpereurCuiaba, 28, D(C)",  ,8(6),940.0,1,-,0.9,0.8,0.8,0.9,-,0.3,1.4,6.58,"HugoBotafogo RJ, 20, D(L),M(L)",  ,4(4),385.0,1,0.3,26.1,83.3,-,2.5,-,6.64,"JadsomRed Bull Bragantino, 21, DMC",  ,7,616.0,-,-,39.6,81.6,-,3.1,-,6.5,"Alan EmpereurCuiaba, 28, D(C)"
213,  ,4(2),414.0,1.5,1.5,0.5,0.5,2.3,0.7,0.3,-,6.5,"MoraesJuventude, 24, D(L)",  ,18,1555.0,1.2,1.3,0.9,0.4,3.6,0.6,0.8,-,6.57,"CaetanoGoias, 23, D(C)",  ,3(4),285.0,-,1,0.4,1,0.7,0.1,-,0.7,0.9,6.63,"MartinelliFluminense, 20, DMC",  ,4(2),414.0,-,-,1,0.2,0.8,0.8,0.2,1.3,1.2,6.5,"MoraesJuventude, 24, D(L)",  ,18,1555.0,-,-,0.2,0.3,0.1,0.3,-,0.1,0.3,6.57,"CaetanoGoias, 23, D(C)",  ,3(4),285.0,1,1,24.7,82.1,-,0.6,-,6.63,"MartinelliFluminense, 20, DMC",  ,4(2),414.0,-,0.2,27.8,80.2,0.2,0.5,-,6.5,"MoraesJuventude, 24, D(L)"
214,  ,3(4),351.0,1.4,0.7,0.7,-,0.6,0.6,-,-,6.49,"ValCoritiba, 25, DMC",  ,5(6),448.0,0.5,0.4,0.5,-,0.4,0.3,0.1,-,6.57,"NathanFluminense, 26, M(CL)",  ,7(3),614.0,-,-,1.5,0.3,0.6,0.7,-,1.1,0.4,6.63,"JairAtletico MG, 27, DMC",  ,3(4),351.0,-,-,2.3,0.6,1,0.9,-,0.9,0.9,6.49,"ValCoritiba, 25, DMC",  ,5(6),448.0,-,1,1.5,0.6,0.8,0.5,0.1,0.5,1.2,6.57,"NathanFluminense, 26, M(CL)",  ,7(3),614.0,-,0.3,31.3,88.5,-,1.1,-,6.63,"JairAtletico MG, 27, DMC",  ,3(4),351.0,-,0.6,32.6,86.0,0.3,3.7,-,6.49,"ValCoritiba, 25, DMC"
215,  ,5(1),460.0,0.7,1.8,1.5,0.3,5.8,0.3,0.8,-,6.49,"Paulo MirandaJuventude, 34, D(CR)",  ,10(10),932.0,0.7,0.6,1.2,0.1,0.4,0.6,-,-,6.57,"HelinhoRed Bull Bragantino, 22, AM(LR)",  ,4(4),378.0,1,-,1.4,1.5,1.6,1.3,0.1,1.4,1.3,6.63,"ErickCeara, 24, AM(LR)",  ,5(1),460.0,-,-,0.7,-,-,0.2,-,0.2,0.7,6.49,"Paulo MirandaJuventude, 34, D(CR)",  ,10(10),932.0,2,1,1.4,1.1,1.1,0.7,0.1,0.7,1.6,6.57,"HelinhoRed Bull Bragantino, 22, AM(LR)",  ,4(4),378.0,-,1.5,14.0,75.9,0.8,0.5,-,6.63,"ErickCeara, 24, AM(LR)",  ,5(1),460.0,-,-,40.0,83.8,-,3.2,-,6.49,"Paulo MirandaJuventude, 34, D(CR)"
216,  ,4(5),413.0,1.1,0.3,0.7,0.1,0.9,1.1,-,-,6.48,"WelingtonSao Paulo, 21, D(L),M(L)",  ,5(7),540.0,1.3,0.3,0.6,0.1,1,0.3,0.3,-,6.57,"José HurtadoRed Bull Bragantino, 20, D(R)",  ,5(4),401.0,2,-,1.6,0.8,0.6,0.6,-,-,0.8,6.63,"MaurícioInternacional, 21, AM(CR)",  ,4(5),413.0,-,1,0.7,0.9,0.9,0.6,-,0.9,0.7,6.48,"WelingtonSao Paulo, 21, D(L),M(L)",  ,5(7),540.0,-,2,0.2,0.6,0.7,0.3,0.1,0.2,0.8,6.57,"José HurtadoRed Bull Bragantino, 20, D(R)",  ,5(4),401.0,-,0.8,16.9,80.9,0.3,0.2,-,6.63,"MaurícioInternacional, 21, AM(CR)",  ,4(5),413.0,1,0.9,18.9,78.8,1,0.3,-,6.48,"WelingtonSao Paulo, 21, D(L),M(L)"
