Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EdenílsonInternacional, 32, D(R),M(CLR)","21EdenílsonInternacional, 32, D(R),M(CLR)",  ,8,714.0,2,0.5,0.8,-,0.3,1.3,0.4,-,7.23,"21EdenílsonInternacional, 32, D(R),M(CLR)",  ,8,714.0,3,2,2.1,1.9,0.9,0.6,0.1,0.8,1.4,7.23,"21EdenílsonInternacional, 32, D(R),M(CLR)",  ,8,714.0,2,1.9,42.0,86.9,1.4,1.4,0.1,7.23,"21EdenílsonInternacional, 32, D(R),M(CLR)",  ,8,714.0,3,2,1,-,2.1,86.9,0.4,-,7.23
"Lucas PiresSantos FC, 21, D(L)","22Lucas PiresSantos FC, 21, D(L)",  ,7(1),643.0,3.3,1,0.6,0.1,1.4,1,0.6,-,7.21,"22Lucas PiresSantos FC, 21, D(L)",  ,7(1),643.0,-,-,0.8,2.3,1.5,0.1,0.1,1,1.5,7.21,"22Lucas PiresSantos FC, 21, D(L)",  ,7(1),643.0,-,2.3,35.9,74.2,2.6,1.9,-,7.21,"22Lucas PiresSantos FC, 21, D(L)",  ,7(1),643.0,-,-,-,-,0.8,74.2,0.5,1,7.21
"Ignacio FernándezAtletico MG, 32, M(CLR)","23Ignacio FernándezAtletico MG, 32, M(CLR)",  ,9,759.0,1.1,0.8,0.7,-,0.3,2.2,-,-,7.2,"23Ignacio FernándezAtletico MG, 32, M(CLR)",  ,9,759.0,2,3,1.8,2.7,0.4,2.1,-,0.9,0.8,7.2,"23Ignacio FernándezAtletico MG, 32, M(CLR)",  ,9,759.0,3,2.7,48.1,83.8,2.3,1.8,-,7.2,"23Ignacio FernándezAtletico MG, 32, M(CLR)",  ,9,759.0,2,3,2,-,1.8,83.8,-,-,7.2
"João PauloSantos FC, 27, GK","24João PauloSantos FC, 27, GK",  ,11,990.0,0.2,-,-,-,1.4,0.1,-,-,7.2,"24João PauloSantos FC, 27, GK",  ,11,990.0,-,-,-,-,0.1,0.2,-,-,0.1,7.2,"24João PauloSantos FC, 27, GK",  ,11,990.0,-,-,21.4,65.1,-,4.3,-,7.2,"24João PauloSantos FC, 27, GK",  ,11,990.0,-,-,2,-,-,65.1,0.4,1,7.2
"Marcelo BenevenutoFortaleza, 26, D(C)","25Marcelo BenevenutoFortaleza, 26, D(C)",  ,10,867.0,1,2,0.7,0.9,4.3,0.6,1,-,7.19,"25Marcelo BenevenutoFortaleza, 26, D(C)",  ,10,867.0,-,-,1.2,0.3,0.1,0.9,-,0.1,0.5,7.19,"25Marcelo BenevenutoFortaleza, 26, D(C)",  ,10,867.0,-,0.3,36.7,81.2,-,2.7,-,7.19,"25Marcelo BenevenutoFortaleza, 26, D(C)",  ,10,867.0,-,-,2,-,1.2,81.2,3.3,-,7.19
"HulkAtletico MG, 36, AM(CLR),FW","26HulkAtletico MG, 36, AM(CLR),FW",  ,9(1),826.0,0.6,-,1.3,-,0.3,0.3,-,-,7.19,"26HulkAtletico MG, 36, AM(CLR),FW",  ,9(1),826.0,4,2,3.4,2,1.9,2.1,0.8,1.8,3.6,7.19,"26HulkAtletico MG, 36, AM(CLR),FW",  ,9(1),826.0,2,2,23.7,71.7,0.1,0.6,0.1,7.19,"26HulkAtletico MG, 36, AM(CLR),FW",  ,9(1),826.0,4,2,3,-,3.4,71.7,1.1,2,7.19
"AndréFluminense, 21, DMC","27AndréFluminense, 21, DMC",  ,10,896.0,1.8,1.1,1,-,0.4,1,0.2,-,7.18,"27AndréFluminense, 21, DMC",  ,10,896.0,-,1,1,0.9,2.5,1.9,-,1.2,1.1,7.18,"27AndréFluminense, 21, DMC",  ,10,896.0,1,0.9,67.3,92.1,0.2,3.1,0.2,7.18,"27AndréFluminense, 21, DMC",  ,10,896.0,-,1,4,-,1,92.1,0.4,-,7.18
"EgídioCoritiba, 36, D(L)","28EgídioCoritiba, 36, D(L)",  ,4(3),479.0,1.7,1.7,0.4,0.1,1.6,1.6,0.1,-,7.18,"28EgídioCoritiba, 36, D(L)",  ,4(3),479.0,-,2,0.6,1.3,0.7,0.7,-,-,1,7.18,"28EgídioCoritiba, 36, D(L)",  ,4(3),479.0,2,1.3,30.6,79.0,1.4,1,-,7.18,"28EgídioCoritiba, 36, D(L)",  ,4(3),479.0,-,2,-,-,0.6,79.0,0.7,1,7.18
"Rodrigo NestorSao Paulo, 22, DMC","29Rodrigo NestorSao Paulo, 22, DMC",  ,6(1),533.0,1.6,0.4,1.1,-,0.3,0.7,-,-,7.18,"29Rodrigo NestorSao Paulo, 22, DMC",  ,6(1),533.0,3,1,3,1.6,0.7,1,-,0.7,1.7,7.18,"29Rodrigo NestorSao Paulo, 22, DMC",  ,6(1),533.0,1,1.6,29.0,80.3,0.4,0.7,-,7.18,"29Rodrigo NestorSao Paulo, 22, DMC",  ,6(1),533.0,3,1,2,-,3,80.3,0.7,-,7.18
