Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"Tomás CuelloAthletico Paranaense, 22, AM(L)","100Tomás CuelloAthletico Paranaense, 22, AM(L)",  ,6(2),478.0,1.4,0.3,0.9,-,0.1,0.5,-,-,6.9,"100Tomás CuelloAthletico Paranaense, 22, AM(L)",  ,6(2),478.0,1,2,1.9,1.3,1.9,0.8,0.3,1.4,2.3,6.9,"100Tomás CuelloAthletico Paranaense, 22, AM(L)",  ,6(2),478.0,2,1.3,20.8,75.9,0.4,1.6,0.1,6.9,"100Tomás CuelloAthletico Paranaense, 22, AM(L)",  ,6(2),478.0,1,2,2,-,1.9,75.9,0.4,-,6.9
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MádsonSantos FC, 30, D(R),M(R)","101MádsonSantos FC, 30, D(R),M(R)",  ,9,781.0,1.2,1.6,0.9,0.2,2.8,0.8,0.6,-,6.9,"101MádsonSantos FC, 30, D(R),M(R)",  ,9,781.0,-,1,0.4,1.4,-,0.6,-,0.2,0.6,6.9,"101MádsonSantos FC, 30, D(R),M(R)",  ,9,781.0,1,1.4,27.0,82.3,0.7,1.3,-,6.9,"101MádsonSantos FC, 30, D(R),M(R)",  ,9,781.0,-,1,4,-,0.4,82.3,1.7,-,6.9
"PepêCuiaba, 24, M(C)","102PepêCuiaba, 24, M(C)",  ,9,750.0,2.4,0.8,1.2,-,1.1,1.1,-,-,6.9,"102PepêCuiaba, 24, M(C)",  ,9,750.0,-,-,1.7,1.4,1.4,1.8,-,1.1,1.1,6.9,"102PepêCuiaba, 24, M(C)",  ,9,750.0,-,1.4,39.7,88.0,0.6,3.1,0.1,6.9,"102PepêCuiaba, 24, M(C)",  ,9,750.0,-,-,1,-,1.7,88.0,0.6,-,6.9
"ErickAthletico Paranaense, 24, D(R),DMC","103ErickAthletico Paranaense, 24, D(R),DMC",  ,5(3),474.0,1.6,0.9,0.8,-,1.3,0.8,0.9,-,6.9,"103ErickAthletico Paranaense, 24, D(R),DMC",  ,5(3),474.0,1,-,0.8,0.3,0.6,0.8,-,0.3,0.8,6.9,"103ErickAthletico Paranaense, 24, D(R),DMC",  ,5(3),474.0,-,0.3,19.8,81.0,0.1,1.1,-,6.9,"103ErickAthletico Paranaense, 24, D(R),DMC",  ,5(3),474.0,1,-,-,-,0.8,81.0,1.4,1,6.9
"Gustavo MosquitoCorinthians, 24, AM(LR)","104Gustavo MosquitoCorinthians, 24, AM(LR)",  ,2(4),255.0,1,0.3,0.5,-,0.3,-,-,-,6.9,"104Gustavo MosquitoCorinthians, 24, AM(LR)",  ,2(4),255.0,2,1,1,0.7,1,0.5,-,0.2,1,6.9,"104Gustavo MosquitoCorinthians, 24, AM(LR)",  ,2(4),255.0,1,0.7,10.5,81.0,0.5,-,-,6.9,"104Gustavo MosquitoCorinthians, 24, AM(LR)",  ,2(4),255.0,2,1,-,-,1,81.0,0.2,1,6.9
"Rodrigo FernándezSantos FC, 26, DMC","105Rodrigo FernándezSantos FC, 26, DMC",  ,9(1),820.0,3.5,0.7,2.8,-,1.3,3.1,0.2,-,6.9,"105Rodrigo FernándezSantos FC, 26, DMC",  ,9(1),820.0,-,-,0.5,0.4,1.1,1,-,0.8,0.9,6.9,"105Rodrigo FernándezSantos FC, 26, DMC",  ,9(1),820.0,-,0.4,41.6,85.8,0.2,3.3,-,6.9,"105Rodrigo FernándezSantos FC, 26, DMC",  ,9(1),820.0,-,-,4,-,0.5,85.8,1.4,1,6.9
"Filipe LuísFlamengo, 37, D(L)","106Filipe LuísFlamengo, 37, D(L)",  ,4(1),312.0,2.2,1.4,1,-,1,-,-,-,6.9,"106Filipe LuísFlamengo, 37, D(L)",  ,4(1),312.0,-,-,0.4,0.4,0.6,1,-,0.6,0.6,6.9,"106Filipe LuísFlamengo, 37, D(L)",  ,4(1),312.0,-,0.4,43.4,94.0,0.2,3.2,-,6.9,"106Filipe LuísFlamengo, 37, D(L)",  ,4(1),312.0,-,-,-,-,0.4,94.0,0.2,-,6.9
"Eduardo BauermannSantos FC, 26, D(C)","107Eduardo BauermannSantos FC, 26, D(C)",  ,10,900.0,0.5,1.8,0.3,0.3,4.6,-,1,-,6.88,"107Eduardo BauermannSantos FC, 26, D(C)",  ,10,900.0,-,1,0.5,0.2,0.2,0.4,0.1,-,0.1,6.88,"107Eduardo BauermannSantos FC, 26, D(C)",  ,10,900.0,1,0.2,38.9,88.4,-,2.1,-,6.88,"107Eduardo BauermannSantos FC, 26, D(C)",  ,10,900.0,-,1,1,-,0.5,88.4,1.7,-,6.88
"RonyPalmeiras, 27, AM(LR),FW","108RonyPalmeiras, 27, AM(LR),FW",  ,8(1),687.0,0.4,0.1,1.7,-,0.7,0.7,-,-,6.88,"108RonyPalmeiras, 27, AM(LR),FW",  ,8(1),687.0,3,-,2.2,0.8,0.2,1.1,0.7,0.2,2,6.88,"108RonyPalmeiras, 27, AM(LR),FW",  ,8(1),687.0,-,0.8,9.1,72.0,-,0.1,-,6.88,"108RonyPalmeiras, 27, AM(LR),FW",  ,8(1),687.0,3,-,-,-,2.2,72.0,1.6,-,6.88
"SantosFlamengo, 32, GK","109SantosFlamengo, 32, GK",  ,5,450.0,-,-,-,-,0.8,-,-,-,6.88,"109SantosFlamengo, 32, GK",  ,5,450.0,-,-,-,-,-,-,-,-,-,6.88,"109SantosFlamengo, 32, GK",  ,5,450.0,-,-,21.6,76.9,-,3.8,-,6.88,"109SantosFlamengo, 32, GK",  ,5,450.0,-,-,-,-,-,76.9,-,-,6.88
"JeffinhoBotafogo RJ, 22, Midfielder","110JeffinhoBotafogo RJ, 22, Midfielder",  ,3(2),308.0,0.6,0.2,0.6,-,-,0.8,0.2,-,6.88,"110JeffinhoBotafogo RJ, 22, Midfielder",  ,3(2),308.0,1,-,2.6,1.2,2.8,1.2,0.2,1.2,1.6,6.88,"110JeffinhoBotafogo RJ, 22, Midfielder",  ,3(2),308.0,-,1.2,21.8,74.3,-,0.2,-,6.88,"110JeffinhoBotafogo RJ, 22, Midfielder",  ,3(2),308.0,1,-,1,-,2.6,74.3,-,1,6.88
"GansoFluminense, 32, AM(C)","111GansoFluminense, 32, AM(C)",  ,8,596.0,1.3,0.3,0.8,-,0.3,1.8,0.3,-,6.88,"111GansoFluminense, 32, AM(C)",  ,8,596.0,-,1,0.9,1.6,1.1,2,-,0.8,0.9,6.88,"111GansoFluminense, 32, AM(C)",  ,8,596.0,1,1.6,51.1,89.0,0.4,1.3,0.4,6.88,"111GansoFluminense, 32, AM(C)",  ,8,596.0,-,1,1,-,0.9,89.0,-,-,6.88
"Róger GuedesCorinthians, 25, AM(CLR),FW","112Róger GuedesCorinthians, 25, AM(CLR),FW",  ,9,705.0,0.4,-,0.7,-,0.2,0.1,0.1,-,6.87,"112Róger GuedesCorinthians, 25, AM(CLR),FW",  ,9,705.0,4,-,2.3,1,0.8,1.6,0.7,0.7,2.3,6.87,"112Róger GuedesCorinthians, 25, AM(CLR),FW",  ,9,705.0,-,1,30.0,81.9,-,1.1,-,6.87,"112Róger GuedesCorinthians, 25, AM(CLR),FW",  ,9,705.0,4,-,2,-,2.3,81.9,0.7,1,6.87
"MoraesJuventude, 24, D(L)","113MoraesJuventude, 24, D(L)",  ,4(2),392.0,1.2,0.8,0.2,-,0.2,0.3,-,-,6.87,"113MoraesJuventude, 24, D(L)",  ,4(2),392.0,1,-,1.3,1,1.2,1.2,0.2,0.7,1.2,6.87,"113MoraesJuventude, 24, D(L)",  ,4(2),392.0,-,1,27.8,76.0,1.3,1,-,6.87,"113MoraesJuventude, 24, D(L)",  ,4(2),392.0,1,-,-,-,1.3,76.0,0.7,-,6.87
"PabloFlamengo, 31, D(C)","114PabloFlamengo, 31, D(C)",  ,6,496.0,0.8,1.7,1.3,0.5,4,0.5,0.2,-,6.87,"114PabloFlamengo, 31, D(C)",  ,6,496.0,-,-,0.5,0.2,0.2,0.2,0.2,0.2,0.3,6.87,"114PabloFlamengo, 31, D(C)",  ,6,496.0,-,0.2,63.0,93.4,-,3,-,6.87,"114PabloFlamengo, 31, D(C)",  ,6,496.0,-,-,2,-,0.5,93.4,2,-,6.87
"JailsonAmerica MG, 41, GK","115JailsonAmerica MG, 41, GK",  ,6,540.0,-,-,-,-,1,-,-,-,6.86,"115JailsonAmerica MG, 41, GK",  ,6,540.0,-,-,-,-,-,-,-,0.2,-,6.86,"115JailsonAmerica MG, 41, GK",  ,6,540.0,-,-,25.2,69.5,-,8,-,6.86,"115JailsonAmerica MG, 41, GK",  ,6,540.0,-,-,1,-,-,69.5,-,1,6.86
"Rafael GavaCuiaba, 29, AM(C)","116Rafael GavaCuiaba, 29, AM(C)",  ,8,555.0,1.4,0.6,0.9,-,0.6,0.6,0.4,-,6.86,"116Rafael GavaCuiaba, 29, AM(C)",  ,8,555.0,-,1,1.5,1.3,0.4,0.4,0.1,0.5,1,6.86,"116Rafael GavaCuiaba, 29, AM(C)",  ,8,555.0,1,1.3,28.6,78.2,1.3,1.3,-,6.86,"116Rafael GavaCuiaba, 29, AM(C)",  ,8,555.0,-,1,1,1,1.5,78.2,1.3,-,6.86
"Alex MuralhaCoritiba, 32, GK","117Alex MuralhaCoritiba, 32, GK",  ,8,720.0,0.1,-,-,-,1.5,-,-,-,6.86,"117Alex MuralhaCoritiba, 32, GK",  ,8,720.0,-,-,-,-,0.1,0.1,-,-,-,6.86,"117Alex MuralhaCoritiba, 32, GK",  ,8,720.0,-,-,23.6,62.4,-,4.8,-,6.86,"117Alex MuralhaCoritiba, 32, GK",  ,8,720.0,-,-,1,-,-,62.4,0.4,1,6.86
"LucianoSao Paulo, 29, AM(CR),FW","118LucianoSao Paulo, 29, AM(CR),FW",  ,7(2),530.0,1.2,0.1,0.3,-,0.6,1.1,-,-,6.85,"118LucianoSao Paulo, 29, AM(CR),FW",  ,7(2),530.0,3,-,2.4,0.8,1,0.7,0.2,0.7,0.7,6.85,"118LucianoSao Paulo, 29, AM(CR),FW",  ,7(2),530.0,-,0.8,20.1,82.9,-,1.6,-,6.85,"118LucianoSao Paulo, 29, AM(CR),FW",  ,7(2),530.0,3,-,2,-,2.4,82.9,0.7,-,6.85
"LimaCeara, 26, AM(CLR)","119LimaCeara, 26, AM(CLR)",  ,7(1),581.0,1.4,1.1,1.3,0.1,0.3,1.1,0.3,-,6.85,"119LimaCeara, 26, AM(CLR)",  ,7(1),581.0,2,-,2.1,1.5,0.9,2.3,0.1,2,2.4,6.85,"119LimaCeara, 26, AM(CLR)",  ,7(1),581.0,-,1.5,32.1,84.8,0.8,0.6,0.1,6.85,"119LimaCeara, 26, AM(CLR)",  ,7(1),581.0,2,-,-,1,2.1,84.8,0.9,-,6.85
"WalterCuiaba, 34, GK","120WalterCuiaba, 34, GK",  ,10,900.0,0.1,-,-,-,0.6,-,-,-,6.85,"120WalterCuiaba, 34, GK",  ,10,900.0,-,-,-,-,-,0.1,-,-,0.1,6.85,"120WalterCuiaba, 34, GK",  ,10,900.0,-,-,23.5,73.6,-,5.1,-,6.85,"120WalterCuiaba, 34, GK",  ,10,900.0,-,-,-,-,-,73.6,0.3,-,6.85
"LázaroFlamengo, 20, Forward","121LázaroFlamengo, 20, Forward",  ,5(5),407.0,0.9,0.2,0.9,-,0.2,0.7,-,-,6.84,"121LázaroFlamengo, 20, Forward",  ,5(5),407.0,3,2,2.1,0.8,1.1,1.1,0.1,0.8,0.8,6.84,"121LázaroFlamengo, 20, Forward",  ,5(5),407.0,2,0.8,16.6,81.9,0.4,0.5,0.1,6.84,"121LázaroFlamengo, 20, Forward",  ,5(5),407.0,3,2,-,-,2.1,81.9,0.2,-,6.84
"HelinhoRed Bull Bragantino, 22, AM(LR)","122HelinhoRed Bull Bragantino, 22, AM(LR)",  ,4(5),410.0,1,0.7,1,0.1,0.6,0.6,-,-,6.84,"122HelinhoRed Bull Bragantino, 22, AM(LR)",  ,4(5),410.0,2,-,1.6,1,1.2,0.4,0.1,0.4,1.2,6.84,"122HelinhoRed Bull Bragantino, 22, AM(LR)",  ,4(5),410.0,-,1,17.7,74.8,0.7,1.8,-,6.84,"122HelinhoRed Bull Bragantino, 22, AM(LR)",  ,4(5),410.0,2,-,1,-,1.6,74.8,0.3,-,6.84
"Steven MendozaCeara, 30, AM(CLR)","123Steven MendozaCeara, 30, AM(CLR)",  ,9,757.0,0.6,0.1,0.9,-,0.2,0.4,-,-,6.84,"123Steven MendozaCeara, 30, AM(CLR)",  ,9,757.0,3,-,2.8,1.1,1.9,2.3,0.8,2.6,3.4,6.84,"123Steven MendozaCeara, 30, AM(CLR)",  ,9,757.0,-,1.1,21.2,74.3,0.9,0.7,0.1,6.84,"123Steven MendozaCeara, 30, AM(CLR)",  ,9,757.0,3,-,2,-,2.8,74.3,0.6,1,6.84
"Richard CândidoCeara, 28, DMC","124Richard CândidoCeara, 28, DMC",  ,9,740.0,3.3,0.6,1.7,-,1.6,0.9,0.8,-,6.83,"124Richard CândidoCeara, 28, DMC",  ,9,740.0,-,-,0.8,0.1,0.3,0.7,0.1,0.9,1.1,6.83,"124Richard CândidoCeara, 28, DMC",  ,9,740.0,-,0.1,46.9,86.3,-,1.8,-,6.83,"124Richard CândidoCeara, 28, DMC",  ,9,740.0,-,-,2,-,0.8,86.3,2,-,6.83
"BentoAthletico Paranaense, 23, GK","125BentoAthletico Paranaense, 23, GK",  ,10,900.0,-,0.1,-,-,0.9,-,-,-,6.83,"125BentoAthletico Paranaense, 23, GK",  ,10,900.0,-,-,-,-,-,-,-,-,-,6.83,"125BentoAthletico Paranaense, 23, GK",  ,10,900.0,-,-,22.9,51.5,-,4.2,-,6.83,"125BentoAthletico Paranaense, 23, GK",  ,10,900.0,-,-,1,-,-,51.5,0.1,-,6.83
"Raphael VeigaPalmeiras, 27, AM(CLR)","126Raphael VeigaPalmeiras, 27, AM(CLR)",  ,9,594.0,0.9,0.1,1.1,-,0.2,0.6,-,-,6.83,"126Raphael VeigaPalmeiras, 27, AM(CLR)",  ,9,594.0,2,3,2.4,1.1,0.8,1.6,0.1,1.1,1.4,6.83,"126Raphael VeigaPalmeiras, 27, AM(CLR)",  ,9,594.0,3,1.1,22.7,81.4,0.8,1.8,-,6.83,"126Raphael VeigaPalmeiras, 27, AM(CLR)",  ,9,594.0,2,3,-,-,2.4,81.4,0.4,1,6.83
"Pedro RaúlGoias, 25, FW","127Pedro RaúlGoias, 25, FW",  ,10,771.0,0.2,0.1,1.4,-,0.9,0.5,0.1,-,6.82,"127Pedro RaúlGoias, 25, FW",  ,10,771.0,6,-,2.4,0.7,0.1,0.7,0.4,1.1,2.5,6.82,"127Pedro RaúlGoias, 25, FW",  ,10,771.0,-,0.7,10.0,66.0,-,0.3,0.1,6.82,"127Pedro RaúlGoias, 25, FW",  ,10,771.0,6,-,1,-,2.4,66.0,2.1,-,6.82
"Daniel BorgesBotafogo RJ, 29, D(LR)","128Daniel BorgesBotafogo RJ, 29, D(LR)",  ,7(2),617.0,0.9,0.3,0.6,0.4,1.3,0.6,0.1,-,6.82,"128Daniel BorgesBotafogo RJ, 29, D(LR)",  ,7(2),617.0,1,1,0.3,1.9,0.4,0.9,-,0.1,0.6,6.82,"128Daniel BorgesBotafogo RJ, 29, D(LR)",  ,7(2),617.0,1,1.9,43.8,83.0,1.7,2.8,-,6.82,"128Daniel BorgesBotafogo RJ, 29, D(LR)",  ,7(2),617.0,1,1,-,-,0.3,83.0,0.4,1,6.82
"Lucas BragaSantos FC, 25, M(LR)","129Lucas BragaSantos FC, 25, M(LR)",  ,5(5),565.0,0.5,0.4,0.4,-,0.9,0.4,0.1,-,6.82,"129Lucas BragaSantos FC, 25, M(LR)",  ,5(5),565.0,1,-,1.1,0.6,2.2,1.2,0.2,0.7,0.7,6.82,"129Lucas BragaSantos FC, 25, M(LR)",  ,5(5),565.0,-,0.6,16.8,85.1,0.3,0.4,-,6.82,"129Lucas BragaSantos FC, 25, M(LR)",  ,5(5),565.0,1,-,-,-,1.1,85.1,0.6,1,6.82
"Agustín CanobbioAthletico Paranaense, 23, AM(R)","130Agustín CanobbioAthletico Paranaense, 23, AM(R)",  ,7,570.0,1.7,0.1,1.6,-,0.6,1,-,-,6.81,"130Agustín CanobbioAthletico Paranaense, 23, AM(R)",  ,7,570.0,1,-,1,1,1.1,2.3,0.4,1.6,1.6,6.81,"130Agustín CanobbioAthletico Paranaense, 23, AM(R)",  ,7,570.0,-,1,21.0,78.2,0.1,0.4,-,6.81,"130Agustín CanobbioAthletico Paranaense, 23, AM(R)",  ,7,570.0,1,-,-,-,1,78.2,0.3,-,6.81
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alef MangaCoritiba, 27, AM(R)","131Alef MangaCoritiba, 27, AM(R)",  ,10,723.0,1.8,0.4,1.4,-,0.5,0.7,-,-,6.81,"131Alef MangaCoritiba, 27, AM(R)",  ,10,723.0,3,1,2,1.1,0.3,0.4,0.4,1.1,1.6,6.81,"131Alef MangaCoritiba, 27, AM(R)",  ,10,723.0,1,1.1,18.5,75.7,0.3,1.1,-,6.81,"131Alef MangaCoritiba, 27, AM(R)",  ,10,723.0,3,1,3,-,2,75.7,0.9,-,6.81
"Alan PatrickInternacional, 31, M(CLR)","132Alan PatrickInternacional, 31, M(CLR)",  ,4(1),248.0,0.4,0.2,0.6,-,0.4,0.8,-,-,6.81,"132Alan PatrickInternacional, 31, M(CLR)",  ,4(1),248.0,1,2,1.2,1.2,0.4,2,-,1.2,2.4,6.81,"132Alan PatrickInternacional, 31, M(CLR)",  ,4(1),248.0,2,1.2,20.2,85.1,-,0.8,0.4,6.81,"132Alan PatrickInternacional, 31, M(CLR)",  ,4(1),248.0,1,2,-,-,1.2,85.1,0.2,-,6.81
"PabloAthletico Paranaense, 30, AM(CLR),FW","133PabloAthletico Paranaense, 30, AM(CLR),FW",  ,5(2),396.0,0.4,0.7,1.7,-,0.9,-,-,-,6.8,"133PabloAthletico Paranaense, 30, AM(CLR),FW",  ,5(2),396.0,1,-,1.6,1.4,0.3,1.1,0.6,0.7,1.4,6.8,"133PabloAthletico Paranaense, 30, AM(CLR),FW",  ,5(2),396.0,-,1.4,16.3,75.4,-,1,-,6.8,"133PabloAthletico Paranaense, 30, AM(CLR),FW",  ,5(2),396.0,1,-,2,-,1.6,75.4,2.4,-,6.8
"YtaloRed Bull Bragantino, 34, AM(C),FW","134YtaloRed Bull Bragantino, 34, AM(C),FW",  ,5(2),391.0,0.3,0.3,0.3,-,0.4,-,0.1,-,6.8,"134YtaloRed Bull Bragantino, 34, AM(C),FW",  ,5(2),391.0,2,-,0.9,0.4,-,0.6,-,0.1,0.3,6.8,"134YtaloRed Bull Bragantino, 34, AM(C),FW",  ,5(2),391.0,-,0.4,9.3,86.2,0.1,0.4,-,6.8,"134YtaloRed Bull Bragantino, 34, AM(C),FW",  ,5(2),391.0,2,-,-,-,0.9,86.2,0.7,-,6.8
"NonatoFluminense, 24, M(C)","135NonatoFluminense, 24, M(C)",  ,4(2),379.0,1.2,0.5,0.8,0.2,0.5,0.7,0.2,-,6.79,"135NonatoFluminense, 24, M(C)",  ,4(2),379.0,-,-,0.7,1.7,0.8,1.7,-,0.8,0.8,6.79,"135NonatoFluminense, 24, M(C)",  ,4(2),379.0,-,1.7,49.7,87.2,1.3,1.3,-,6.79,"135NonatoFluminense, 24, M(C)",  ,4(2),379.0,-,-,-,-,0.7,87.2,0.5,-,6.79
"CleitonRed Bull Bragantino, 24, GK","136CleitonRed Bull Bragantino, 24, GK",  ,11,990.0,-,-,-,-,1.3,-,-,-,6.79,"136CleitonRed Bull Bragantino, 24, GK",  ,11,990.0,-,-,-,0.2,-,0.5,-,-,-,6.79,"136CleitonRed Bull Bragantino, 24, GK",  ,11,990.0,-,0.2,31.5,67.1,-,8.5,-,6.79,"136CleitonRed Bull Bragantino, 24, GK",  ,11,990.0,-,-,1,-,-,67.1,0.1,2,6.79
"AirtonAtletico GO, 23, AM(R)","137AirtonAtletico GO, 23, AM(R)",  ,7(3),548.0,1,0.3,0.8,-,0.3,0.2,0.1,-,6.79,"137AirtonAtletico GO, 23, AM(R)",  ,7(3),548.0,2,1,1.3,1,1,0.9,0.1,0.7,1.4,6.79,"137AirtonAtletico GO, 23, AM(R)",  ,7(3),548.0,1,1,12.5,66.4,0.6,-,-,6.79,"137AirtonAtletico GO, 23, AM(R)",  ,7(3),548.0,2,1,-,-,1.3,66.4,0.8,1,6.79
"MatheusinhoAmerica MG, 24, AM(CR)","138MatheusinhoAmerica MG, 24, AM(CR)",  ,4(2),370.0,1.2,0.5,0.8,-,0.2,0.7,-,-,6.79,"138MatheusinhoAmerica MG, 24, AM(CR)",  ,4(2),370.0,-,-,1.2,2.3,2.2,2,-,1.3,1.5,6.79,"138MatheusinhoAmerica MG, 24, AM(CR)",  ,4(2),370.0,-,2.3,24.3,79.5,0.5,1.5,-,6.79,"138MatheusinhoAmerica MG, 24, AM(CR)",  ,4(2),370.0,-,-,1,-,1.2,79.5,0.3,-,6.79
"WandersonAtletico GO, 31, D(C)","139WandersonAtletico GO, 31, D(C)",  ,6,540.0,0.8,1,0.5,0.7,4.2,-,1,-,6.79,"139WandersonAtletico GO, 31, D(C)",  ,6,540.0,-,-,0.3,0.3,-,0.2,-,0.2,0.2,6.79,"139WandersonAtletico GO, 31, D(C)",  ,6,540.0,-,0.3,42.7,85.9,-,2.8,-,6.79,"139WandersonAtletico GO, 31, D(C)",  ,6,540.0,-,-,-,-,0.3,85.9,3.5,-,6.79
"Willian FariasCoritiba, 33, DMC","141Willian FariasCoritiba, 33, DMC",  ,9,808.0,1.9,0.7,0.3,-,1.8,1.7,0.1,-,6.78,"141Willian FariasCoritiba, 33, DMC",  ,9,808.0,-,-,0.8,0.8,1.1,1.2,-,0.1,1.2,6.78,"141Willian FariasCoritiba, 33, DMC",  ,9,808.0,-,0.8,41.4,86.3,-,3.8,-,6.78,"141Willian FariasCoritiba, 33, DMC",  ,9,808.0,-,-,3,-,0.8,86.3,1,-,6.78
"ÉlvisGoias, 31, AM(C)","142ÉlvisGoias, 31, AM(C)",  ,6,480.0,0.3,0.3,0.8,-,-,1.7,-,-,6.78,"142ÉlvisGoias, 31, AM(C)",  ,6,480.0,2,2,1.2,1.8,0.3,1.3,-,0.8,1.2,6.78,"142ÉlvisGoias, 31, AM(C)",  ,6,480.0,2,1.8,39.5,80.2,1.8,4.2,0.2,6.78,"142ÉlvisGoias, 31, AM(C)",  ,6,480.0,2,2,2,-,1.2,80.2,0.2,-,6.78
"KevinAvai FC, 24, D(R),M(R)","143KevinAvai FC, 24, D(R),M(R)",  ,11,912.0,2.1,0.8,1.2,0.3,1.5,1.4,0.2,-,6.78,"143KevinAvai FC, 24, D(R),M(R)",  ,11,912.0,-,-,0.6,1.7,0.3,0.8,-,0.4,0.6,6.78,"143KevinAvai FC, 24, D(R),M(R)",  ,11,912.0,-,1.7,52.1,82.7,1.3,2,-,6.78,"143KevinAvai FC, 24, D(R),M(R)",  ,11,912.0,-,-,-,-,0.6,82.7,1,-,6.78
"Rafael ForsterJuventude, 32, D(CL),DMC","144Rafael ForsterJuventude, 32, D(CL),DMC",  ,9,743.0,1.1,1.4,0.9,0.6,3.9,0.3,0.3,-,6.77,"144Rafael ForsterJuventude, 32, D(CL),DMC",  ,9,743.0,-,-,0.8,0.3,0.8,0.9,-,0.1,0.3,6.77,"144Rafael ForsterJuventude, 32, D(CL),DMC",  ,9,743.0,-,0.3,50.8,81.2,-,5.1,-,6.77,"144Rafael ForsterJuventude, 32, D(CL),DMC",  ,9,743.0,-,-,1,-,0.8,81.2,2.6,-,6.77
"Lucas FernandesBotafogo RJ, 24, M(CL),FW","145Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,5,392.0,1.2,0.2,2.2,-,-,1.6,0.4,-,6.77,"145Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,5,392.0,-,1,2.4,1.4,1.2,1.6,-,1.2,1.6,6.77,"145Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,5,392.0,1,1.4,40.0,84.0,0.8,2.4,-,6.77,"145Lucas FernandesBotafogo RJ, 24, M(CL),FW",  ,5,392.0,-,1,2,-,2.4,84.0,0.2,-,6.77
"RenêInternacional, 29, D(L)","146RenêInternacional, 29, D(L)",  ,7,630.0,2.7,1.4,1.1,-,1.4,1.3,-,-,6.77,"146RenêInternacional, 29, D(L)",  ,7,630.0,-,-,0.1,0.6,0.3,1,-,0.4,1.1,6.77,"146RenêInternacional, 29, D(L)",  ,7,630.0,-,0.6,45.0,82.9,0.7,2.3,-,6.77,"146RenêInternacional, 29, D(L)",  ,7,630.0,-,-,-,-,0.1,82.9,0.6,-,6.77
"DiegoFlamengo, 37, M(CLR)","147DiegoFlamengo, 37, M(CLR)",  ,3(2),285.0,0.8,1,1.2,-,-,1.6,0.6,-,6.77,"147DiegoFlamengo, 37, M(CLR)",  ,3(2),285.0,1,-,0.4,0.2,0.8,1,-,0.4,0.6,6.77,"147DiegoFlamengo, 37, M(CLR)",  ,3(2),285.0,-,0.2,40.6,90.6,0.2,1.6,-,6.77,"147DiegoFlamengo, 37, M(CLR)",  ,3(2),285.0,1,-,-,-,0.4,90.6,-,-,6.77
"Luciano CastánCoritiba, 32, D(C)","148Luciano CastánCoritiba, 32, D(C)",  ,11,990.0,1.3,1.4,0.5,0.2,4.2,0.3,0.6,-,6.76,"148Luciano CastánCoritiba, 32, D(C)",  ,11,990.0,-,-,0.5,0.4,0.1,0.9,0.1,0.2,0.3,6.76,"148Luciano CastánCoritiba, 32, D(C)",  ,11,990.0,-,0.4,53.0,84.9,-,5.6,-,6.76,"148Luciano CastánCoritiba, 32, D(C)",  ,11,990.0,-,-,3,-,0.5,84.9,1.8,-,6.76
"EdsonAtletico GO, 31, D(C),DMC","149EdsonAtletico GO, 31, D(C),DMC",  ,9,766.0,2.1,1.3,0.6,0.3,2.2,0.7,1,-,6.76,"149EdsonAtletico GO, 31, D(C),DMC",  ,9,766.0,-,-,0.6,-,0.1,1.1,-,0.2,0.6,6.76,"149EdsonAtletico GO, 31, D(C),DMC",  ,9,766.0,-,-,54.1,89.1,-,2.7,-,6.76,"149EdsonAtletico GO, 31, D(C),DMC",  ,9,766.0,-,-,3,-,0.6,89.1,2,1,6.76
"MuriquiAvai FC, 36, AM(CL)","151MuriquiAvai FC, 36, AM(CL)",  ,9,596.0,1,0.3,0.9,-,0.1,0.6,-,-,6.75,"151MuriquiAvai FC, 36, AM(CL)",  ,9,596.0,4,-,1.3,0.2,0.6,2.2,0.3,0.6,1.4,6.75,"151MuriquiAvai FC, 36, AM(CL)",  ,9,596.0,-,0.2,15.2,80.3,0.1,0.1,0.1,6.75,"151MuriquiAvai FC, 36, AM(CL)",  ,9,596.0,4,-,2,-,1.3,80.3,0.7,1,6.75
